NAF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon le secteur d'activité en NAF. rév.2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Indicateur,Nombre d'établissements,"Combustibles minéraux solides
(houille, lignite - charbon
pauvre, coke de houille)",Gaz naturel et autres gaz,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Hydrogene,"Combustibles spéciaux
renouvelables","Combustibles spéciaux non
renouvelables",Total autres combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,"Consommation pour production
d'électricité",Total net
"Secteur d'activité, division de la NAF rév.2",,,,,,,,,,,,,,,,,,,,,
Total industrie,19892,4554.2,9947.7,590.3,2231.8,145.9,247.4,17707.8,1505,s,859.6,218.9,s,307,3815.2,1629.6,8772.6,32153.5,406,388,31369.7
07 - 08 – 09 Toutes les Industries extractives,195,0,32.4,0,1.2,0.3,61.1,94.9,10.2,0,s,0,s,0,s,s,49.9,171.4,s,s,171.2
"10 – 11 – 12 Industries alimentaires, Fabrication de boissons, Fabrication de produits à base de
tabac",3109,196.2,2348.3,0,77.2,37.9,29.1,2686.2,0.3,0,113.1,2.2,99,0.8,213.2,294.6,1698.9,4897.7,s,s,4705.9
13 - Fabrication de textiles,429,0,73.2,0,4.1,0.8,2.2,80.3,0,0,0,0,0,0,0,s,s,167.7,s,s,167.7
14 - Industrie de l'habillement,282,0,s,0,s,0.1,0.9,s,0,0,0,0,0,0,0,0.1,s,19.6,s,s,19.6
15 - Industrie du cuir et de la chaussure,236,0,7.4,0,0.4,0,0.5,8.4,0,0,s,0,0,0,s,s,11.4,20,s,s,20
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles -
fabrication d'articles en vannerie et sparterie",661,0,61.7,0,4.1,1,14,80.9,0,s,s,0,s,0,275.2,0.4,145.8,502.4,s,s,479.4
17 - Industrie du papier et du carton,568,s,702.6,0,s,35.9,5.4,759.6,0,s,337.6,0,s,s,1194.2,269.4,627.7,2851.2,s,s,2655.2
18 - Imprimerie et reproduction d'enregistrements,540,0,33.8,0,s,0,0.4,s,0,0,s,0,0,s,0.4,s,s,114.2,s,s,114.1
20 - Industrie chimique,942,317.2,2852.4,s,2055.8,23.5,s,5264.9,1436.9,0,90.4,205.3,s,s,1553.5,840.6,1490.4,9356.1,s,s,9012.5
21 - Industrie pharmaceutique,279,0,168.1,0,1.4,0,0.9,170.3,0,0,0,0,0,s,s,s,s,473.6,s,s,470.9
22 - Fabrication de produits en caoutchouc et en plastique,1365,0,201.8,0,14.7,8.5,4.2,229.2,0,0,8.8,0,s,s,9.7,35.4,485.6,760,s,s,753.7
23 - Fabrication d'autres produits minéraux non métalliques,933,203.8,1545,s,s,32.2,s,2272.7,43.3,0,59.6,1.4,116.4,272.5,491.8,15.9,662.4,3444.3,s,s,3443
24 - Métallurgie,439,3783.9,948.9,s,s,1.2,s,4900.9,s,0,s,8.5,0,s,30.4,39.2,1562,6541,s,s,6536.7
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",3398,s,235.8,s,s,0.3,10.4,266.3,0,0,s,s,0,0.3,1,1.2,353.7,624.6,s,s,623.9
"26 - Fabrication de produits informatiques, électroniques et optiques",622,0,s,0,0.2,0,s,s,0,0,0,0.1,0,0,0,1.1,s,193.9,s,s,193.8
27 - Fabrication d'équipements électriques,685,33.3,137.3,0,2.5,0.3,2.4,175.8,0,0,0,0.2,s,0,s,s,185.6,363.3,s,s,363.1
28 - Fabrication de machines et équipements n.c.a.,1485,0,117.8,0,s,1.7,s,s,0,0,s,s,0.1,s,1.5,1.3,s,295.3,s,s,294.4
29 - Industrie automobile,653,0,230.4,0,9.7,0,4.1,242.8,0,0,1.4,0,0,0.1,1.5,16.8,447,709.4,s,s,706.3
30 - Fabrication d'autres matériels de transport,308,0,s,0,2.3,0.1,s,s,s,0,s,0.1,0,0.1,8.8,s,s,259.6,s,s,258.8
31 - Fabrication de meubles,386,0,14.4,0,3.3,0,2.3,19.8,0,0,s,0,0,0,s,0.2,s,67.9,s,s,67.8
32 - Autres industries manufacturières,572,0,36.4,0,1.5,0.1,0.7,38.5,0,0,0.3,0.1,0,0,0.3,0.4,59,98.3,s,s,98.3
33 - Réparation et installation de machines et d'équipements,1405,0,s,0,1.5,0.5,s,29.4,0.2,0,0.1,0,0,0.1,0.3,2,49.9,82.1,s,s,74.3
38 - Récupération,401,0,56.5,0,0.9,1.5,22,81,0,0,s,0,s,0,0.8,11.2,46.8,139.9,s,s,139.2
,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2020.",,,,,,,,,,,,,,,,,,,,,
