SL_T1 : Chiffres clés relatifs à la consommation d'énergie dans l'industrie (y compris IAA),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Année,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2005,2006,2007,2008,2009,2010,2011,2012.0,2013.0,2014.0,2015.0,2016.0,2017,2018,2019,2020
Indicateur,,,,,,,,,,,,,,,,,,,,,,,,,,
Consommation brute (en millions de TEP),33,33,35,35,34,34,33,33,33,33,44,43,43,43,37,38,36,36.0,36.0,35.0,36.0,37.0,36,36,35,32
Consommation nette (en millions de TEP),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,42,41,41,41,35,36,35,34.0,34.0,34.0,35.0,36.0,35,35,34,31
Facture énergétique (en millions d'euros courants),7603,7894,7770,7569,8477,8762,8327,8462,9031,10356,12769,14309,14446,16260,13284,14538,15594,16110.0,15894.0,15175.0,14304.0,13116.0,13279,14535,13774,11728
Electricité consommée hors utilisation en tant que matière première (en %),37,38,38,38,39,39,38,39,39,40,34,34,34,34,34,34,34,33.0,33.0,34.0,34.0,34.0,35,35,35,33
"Combustibles minéraux solides (houille, lignite, coke de houille) consommés hors utilisation en tant
que matière première (en %)",6,5,5,4,6,4,7,5,4,5,5,5,5,5,5,5,7,7.0,6.0,6.0,8.0,7.0,6,6,6,3
Gaz de réseau consommé hors utilisation en tant que matière première (en %),38,38,39,39,38,38,36,38,37,37,34,34,34,33,33,34,34,35.0,36.0,35.0,34.0,34.0,34,34,35,37
"Produits pétroliers (coke de pétrole, butane-propane, fioul lourd et fioul domestique) consommés
hors utilisation en tant que matière première (en %)",18,17,17,16,14,14,13,12,13,12,10,10,9,8,8,8,8,7.0,6.0,6.0,5.0,5.0,5,4,4,5
Vapeur consommée hors utilisation en tant que matière première (en %),2,2,2,3,4,5,6,6,6,7,6,5,5,6,6,6,5,6.0,6.0,6.0,6.0,6.0,7,7,7,7
Énergies non marchandes consommées hors utilisation en tant que matière première (en %),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,12,12,12,15,14,13,13,13.0,12.0,13.0,13.0,14.0,14,14,14,15
Total (en %),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100,100,100,100
Prix moyen annuel de l'électricité (en € / Mwh),46,45,43,42,40,39,39,39,42,45,45,51,51,53,56,57,61,63.0,65.0,66.0,66.0,60.0,58,60,63,64
Prix moyen annuel de la vapeur (en € / t),10,11,10,10,13,13,13,13,13,18,18,22,22,28,23,23,27,29.0,29.0,27.0,24.0,22.0,22,25,22,20
