REG_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indicateur,"Quantités de gaz consommées
pour la fabrication","Quantités de gaz consommées en
tant que matières premières","Quantités de gaz consommées
pour la production
d’électricité","Quantités de gaz consommées
pour le chauffage ou un autre
usage",Quantités de gaz consommées,"Quantités de fioul domestique
consommées pour la fabrication","Quantités de fioul domestique
consommées en tant que matières
premières","Quantités de fioul domestique
consommées pour la production
d’électricité","Quantités de fioul domestique
consommées pour le chauffage ou
un autre usage","Quantités de fioul domestique
consommées","Quantités d’hydrogène
consommées en tant que matières
premières","Quantités d’hydrogène
utilisées pour la combustion
(hors production d’électricité)","Quantités d’hydrogène
consommées"
Région,,,,,,,,,,,,,
Toutes régions,7684.6,998.2,249.2,1015.7,9947.7,78.7,7.5,10.1,151.1,247.4,76.6,142.3,218.9
Île-de-France,329,s,s,s,554.7,0.4,0.5,0.2,8.8,9.9,0.3,s,s
Centre-Val de Loire,302.8,0.7,42.8,53.5,399.8,0.9,0,1.2,6.6,8.7,0.1,0.1,0.2
Bourgogne-Franche-Comté,352.3,10.8,0.2,67.7,431,3.2,1.9,0.4,8.2,13.7,s,s,s
Normandie,791.2,s,6.7,s,s,12.2,0.7,1.6,7.4,21.8,s,s,1
Hauts-de-France,1604.8,s,s,132.7,1878.8,14.4,s,s,16.3,31.5,s,s,s
Grand Est,1443.3,337.8,48.6,168.6,1998.3,9.3,2,0.8,25.1,37.2,s,s,s
Pays de la Loire,s,s,0,s,353.3,3.7,0.6,0.8,13.5,18.7,0.3,0,0.3
Bretagne,294.1,0.7,0,40.4,335.2,2.6,0.3,0.6,6.6,10,s,0,s
Nouvelle-Aquitaine,498.4,s,s,69.4,582.5,6.6,0.1,1,15.3,23,0.5,6.5,7
Occitanie,s,s,0,s,306.2,4.9,s,s,9.6,15.2,0,0,0
Auvergne-Rhône-Alpes,705.8,70.7,14.6,172,963.1,7.4,1,0.6,19.7,28.8,0.3,16.4,16.7
Provence-Alpes-Côte d'Azur et Corse,815.4,s,s,s,s,5.2,0.1,1.3,6.6,13.2,9.3,91.9,101.2
Dom,0.3,0,0,0,0.3,7.8,0,0.4,7.3,15.5,0,0,0
,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2020.",,,,,,,,,,,,,
