TEFF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indicateur,"Quantités de gaz consommées
pour la fabrication","Quantités de gaz consommées en
tant que matières premières","Quantités de gaz consommées
pour la production
d’électricité","Quantités de gaz consommées
pour le chauffage ou un autre
usage",Quantités de gaz consommées,"Quantités de fioul domestique
consommées pour la fabrication","Quantités de fioul domestique
consommées en tant que matières
premières","Quantités de fioul domestique
consommées pour la production
d’électricité","Quantités de fioul domestique
consommées pour le chauffage ou
un autre usage","Quantités de fioul domestique
consommées","Quantités d’hydrogène
consommées en tant que matières
premières","Quantités d’hydrogène
utilisées pour la combustion
(hors production d’électricité)","Quantités d’hydrogène
consommées"
Tranche d'effectif salarié,,,,,,,,,,,,,
Total industrie,7684.6,998.2,249.2,1015.7,9947.7,78.7,7.5,10.1,151.1,247.4,76.6,142.3,218.9
20 à 49 salariés,421.8,1,0.8,109,532.6,24.7,1.5,1,57,84.2,0,0,0
50 à 99 salariés,794.9,30.7,0.2,138.9,964.8,17,1.3,1.9,39.8,59.9,0.9,2.1,3.1
100 à 249 salariés,2547.1,518.4,72.3,326.1,3464,21.7,3,1.9,30.1,56.7,4.5,s,s
250 à 499 salariés,2265.7,400.5,99.5,201.3,2967.1,10.6,0.4,2.5,14.6,28.1,s,77.4,s
500 salariés ou plus,1655.1,47.5,76.3,240.3,2019.2,4.8,1.4,2.8,9.6,18.6,s,s,75.7
,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2020.",,,,,,,,,,,,,
