Indicateur,"Valeur des achats (en millions d'euros)","Quantités achetées de combustibles minéraux solides","Quantités consommées de combustibles minéraux solides","Valeur des achats de combustibles minéraux solides","Prix moyen des combustibles minéraux solides",Quantités achetées de gaz,Quantités consommées de gaz,Valeur des achats de gaz,Prix moyen du gaz,"Quantités achetées de coke de pétrole","Quantités consommées de coke de pétrole","Valeur des achats de coke de pétrole",Prix moyen de coke de pétrole,"Quantités achetées de butane-propane","Quantités consommées de butane-propane","Valeur des achats de butane-propane",Prix moyen de butane-propane,"Quantités achetées de fioul lourd","Quantités consommées de fioul lourd","Valeur des achats de fioul lourd",Prix moyen de fioul lourd,"Quantités achetées de fioul domestique","Quantités consommées de fioul domestique","Valeur des achats de fioul domestique",Prix moyen de fioul domestique,Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen du bois,Quantités achetées de vapeur,Quantités consommées de vapeur,Valeur des achats de vapeur,Prix moyen de vapeur,"Quantités consommées d’hydrogènes","Quantités autoproduites d’hydrogène",Prix moyen d’hydrogène,"Quantités achetées d'électricité","Quantités consommées d'électricité","Quantités autoproduites d’électricité","Valeur des achats d'électricité",Prix moyen d’électricité
Total industrie,11727.5,7139,7399.2,1065,149.2,129190.4,129190.4,2712.3,21,780.7,774.7,106.4,136.3,2023.6,2038.2,685.1,338.5,145.7,153.3,66.5,456.6,292837.7,292773.2,183.2,0.6,1956,3344.6,87.4,44.7,22632.8,22632.8,447.3,19.8,848588.7,650358.6,45.7,98535.2,102006.6,5308.7,6328.7,64.2
07 - 08 – 09 Toutes les Industries extractives,107.4,0,0,0,0,420.3,420.3,10.6,25.2,0,0,0,0,1.1,1.1,s,s,0.3,0.3,0.3,1155.6,72478,72359.6,43.3,0.6,s,s,s,s,s,s,s,s,0,0,0,576.5,580.5,4.2,49.8,86.4
"10 – 11 – 12 Industries alimentaires, Fabrication de boissons, Fabrication de produits à base de tabac",2343.7,352,374.4,39.1,111.1,30497.8,30497.8,767.4,25.2,s,0,0,s,70.3,70.5,36.1,513.6,39.5,39.8,21.9,553.7,34011,34403.4,20.7,0.6,440.2,440.2,26.3,59.7,4092.3,4092.3,96.3,23.5,8452.8,0,4.2,18330.9,19755.2,1758.6,1331.7,72.6
13 - Fabrication de textiles,113.8,0,0,0,0,950.8,950.8,31.3,32.9,0,0,0,0,3.8,3.8,1.9,493.1,s,0.9,0.5,s,2560,2579.9,1.6,0.6,0,0,0,0,121.5,s,1.8,14.8,0,0,0,s,s,0.3,76.7,s
14 - Industrie de l'habillement,16.9,0,0,0,0,123.2,s,4.9,40.2,0,0,0,0,s,s,0.2,s,s,0.1,0.1,s,1042.9,1052.8,0.7,0.6,0,0,0,0,s,1.6,0.1,s,0,0,0,s,s,s,10.9,s
15 - Industrie du cuir et de la chaussure,18.3,0,0,0,0,96.4,96.4,4.2,43.8,0,0,0,0,0.4,0.4,0.3,788.4,0,0,0,0,652.4,638.3,0.5,0.7,s,s,0,s,s,s,0.1,s,0,0,0,132.5,133.1,0.6,13.2,99.8
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",167.9,0,0,0,0,801,801,17.5,21.9,0,0,0,0,3.1,3.8,1.9,624.6,1.1,1.1,0.8,754.2,16620.1,16610.4,10.6,0.6,239.8,s,10.1,42.3,6.1,6.1,0.2,24.8,0,0,0,1676.5,1695.9,149.8,126.8,75.6
17 - Industrie du papier et du carton,656.2,s,s,s,s,9124.6,9124.6,180.8,19.8,0,0,0,0,4.9,s,3.3,682.5,34.7,37.7,s,s,6281.5,6354.6,3.8,0.6,693.2,1313.5,25.6,37,3741.8,3741.8,68.4,18.3,0,0,0,6686.7,7298.9,1421.6,360.6,53.9
18 - Imprimerie et reproduction d'enregistrements,92.5,0,0,0,0,439.4,439.4,16.1,36.5,0,0,0,0,3.5,s,1.8,523.5,0,0,0,523.1,521.5,462.7,s,s,0,s,0,0,s,s,s,s,0,0,0,s,s,s,73.8,s
20 - Industrie chimique,2472.6,526.7,521.3,s,s,37044.6,37044.6,512.2,13.8,3,s,s,s,1863.4,1877.4,586.8,314.9,21.4,24.7,s,s,17965.7,s,10.2,0.6,312.5,351.8,s,s,11674.5,11674.5,221,18.9,795827.2,648724.9,24,16530.1,17329.7,1109.7,842.4,51
