Indicateur,"Valeur des achats de l’ensemble des énergies (en millions d'euros)","Quantités achetées de combustibles minéraux solides","Quantités consommées de combustibles minéraux solides","Valeur des achats de combustibles minéraux solides","Prix moyen des combustibles minéraux solides",Quantités achetées de gaz,Quantités consommées de gaz,Valeur des achats de gaz,Prix moyen du gaz,"Quantités achetées de coke de pétrole","Quantités consommées de coke de pétrole","Valeur des achats de coke de pétrole",Prix moyen de coke de pétrole,"Quantités achetées de butane-propane","Quantités consommées de butane-propane","Valeur des achats de butane-propane",Prix moyen de butane-propane,"Quantités achetées de fioul lourd","Quantités consommées de fioul lourd","Valeur des achats de fioul lourd",Prix moyen de fioul lourd,"Quantités achetées de fioul domestique","Quantités consommées de fioul domestique","Valeur des achats de fioul domestique",Prix moyen de fioul domestique,Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen du bois,Quantités achetées de vapeur,Quantités consommées de vapeur,Valeur des achats de vapeur,Prix moyen de vapeur,"Quantités consommées d’hydrogènes","Quantités autoproduites d’hydrogène",Prix moyen d’hydrogène,"Quantités achetées d'électricité","Quantités consommées d'électricité","Quantités autoproduites d’électricité","Valeur des achats d'électricité",Prix moyen d’électricité
Toutes régions,11727.5,7139,7399.2,1065,149.2,129190.4,129190.4,2712.3,21,780.7,774.7,106.4,136.3,2023.6,2038.2,685.1,338.5,145.7,153.3,66.5,456.6,292837.7,292773.2,183.2,0.6,1956,3344.6,87.4,44.7,22632.8,22632.8,447.3,19.8,848588.7,650358.6,45.7,98535.2,102006.6,5308.7,6328.7,64.2
Île-de-France,583.4,27.7,26.6,3.7,132.9,7203.3,7203.3,127.8,17.7,1.1,1.3,0.4,385,6.6,6.8,5.2,786.1,1,1.8,0.5,535.7,11732,11710.4,7.1,0.6,s,s,0.8,s,s,365,7.8,s,s,s,1,5796.3,5826.2,84.4,429,74
Centre-Val de Loire,390.2,39.8,39.9,4.1,103.6,5191.6,5191.6,131.1,25.3,34.4,33,s,s,4.9,4.8,3.6,730.2,s,2.2,0.6,s,10476.4,10322.2,7.2,0.7,22.4,s,1.4,61.9,s,s,s,s,945.7,0,1,s,s,s,236.7,s
Bourgogne-Franche-Comté,556.5,25,24.3,4.2,169.7,5597.4,5597.4,145.2,25.9,0,0,0,0,14.3,14.1,8.1,564.1,s,0.6,s,s,16238.2,16254.4,10.4,0.6,s,105.9,s,s,1506.2,1506.2,36.1,24,s,s,6,5486.1,5511.2,25.7,345.9,63.1
Normandie,1060.5,23.2,23,s,s,15294.2,s,268.3,17.5,s,s,s,s,s,s,s,s,7.9,10.5,s,s,25729.4,25814.7,s,s,143.7,352.8,11.4,79.6,3573.1,3573.1,69.8,19.5,3925.6,s,s,7173.4,7389.8,374.4,464.2,64.7
Hauts-de-France,2125.5,s,s,s,s,24702,24399.5,504.1,20.4,174.1,171,32.5,186.6,s,s,s,s,13.4,13.3,s,s,37472.9,37331.6,23.8,0.6,102.6,s,3.1,29.9,1819.9,s,37.8,20.8,s,5006.6,7.7,s,s,s,1035.6,s
Grand Est,1829,861.8,915.5,304.3,353.1,25952,25952,491.4,18.9,154.6,153.1,15.4,99.7,16.3,16.9,10.7,657.5,4.9,4.9,2.3,473.3,43617.3,43984.5,27.1,0.6,816.7,1017,33.6,41.1,2889.1,2889.1,58.1,20.1,s,s,10.2,14073.2,14755.5,1116.6,875.9,62.2
Pays de la Loire,607.7,16.6,16.8,4.6,278.6,4587.9,4587.9,136,29.6,s,s,3.2,s,17.4,17.4,10.9,626,7.7,s,3.8,492,22511.1,22131.5,14.6,0.7,74.3,128.4,3.5,46.6,755,755,18.7,24.8,1197.1,s,0.9,5253.7,5289.4,57.7,411.5,78.3
Bretagne,490.2,s,s,s,s,4352.8,4352.8,130.8,30.1,0,0,0,0,24.6,24.6,11.6,469.7,9.7,s,5.7,589.1,11915.9,11870.3,7.4,0.6,0,4.7,0,1023.1,835,s,20.3,24.3,s,0,s,s,s,s,312.8,s
Nouvelle-Aquitaine,820.4,96.9,95.4,10.1,104.6,7564.5,7564.5,187.4,24.8,s,s,s,s,14.6,s,9.9,675,43.3,43.1,20.7,477.7,27150.4,27222.3,16.9,0.6,453.8,847.5,22.3,49.1,4403.2,4403.2,82.9,18.8,27041.6,s,s,6768.1,6970.4,425,463.4,68.5
Occitanie,436.5,s,s,3.6,s,3976.4,3976.4,96.2,24.2,95.2,93.1,10.7,112.2,10.7,10.7,4.6,428.3,5.7,s,2.5,447.6,17922.2,18038,11.4,0.6,79,243.9,3.7,47.1,669.4,s,12,18,25.7,0,0,s,s,s,291.8,s
Auvergne-Rhône-Alpes,1521.1,190.6,192,36.1,189.6,12508.4,12508.4,313.5,25.1,158.3,158.9,30.1,190,29.1,29.3,18.9,648.1,24.7,28.5,12.3,498,33966.5,34065.5,21.7,0.6,231.3,275.1,6.7,29.1,2583.7,2583.7,55.4,21.4,64751.5,20824.7,7,16142.2,16365.4,405.4,1019.5,63.2
Provence-Alpes-Côte d'Azur et Corse,1216.5,s,s,s,s,12256.6,s,180.3,14.7,73.7,73.8,s,s,951.9,963.4,314.6,340.6,s,s,s,s,15720.7,15672.7,s,s,15.3,s,s,s,2706,2706,40.2,14.8,392274.1,447185.8,s,7495.9,8058.9,676.4,382.6,53.8
Dom,80.9,0,0,0,0,3.3,3.3,0.2,53.9,0,0,0,0,0.8,0.8,s,s,2.9,2.9,2,690.8,18384.7,18355.1,s,s,0.4,s,0,34.2,471.3,471.3,s,s,0,0,0,589.3,597.1,12.1,59.8,101.5
