ID,REG,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène consommées
FRA,France,7684.6,998.2,249.2,1015.7,9947.7,78.7,7.5,10.1,151.1,247.4,76.6,142.3,218.9
IDF,Ile-de-France,329,s,s,s,554.7,0.4,0.5,0.2,8.8,9.9,0.3,s,s
CVL,Centre-Val de Loire,302.8,0.7,42.8,53.5,399.8,0.9,0,1.2,6.6,8.7,0.1,0.1,0.2
BFC,Bourgogne-Franche-Comté,352.3,10.8,0.2,67.7,431,3.2,1.9,0.4,8.2,13.7,s,s,s
NOR,Normandie,791.2,s,6.7,s,s,12.2,0.7,1.6,7.4,21.8,s,s,1
HDF,Hauts-de-France,1604.8,s,s,132.7,1878.8,14.4,s,s,16.3,31.5,s,s,s
GRE,Grand Est,1443.3,337.8,48.6,168.6,1998.3,9.3,2,0.8,25.1,37.2,s,s,s
PAL,Pays de la Loire,s,s,0,s,353.3,3.7,0.6,0.8,13.5,18.7,0.3,0,0.3
BRE,Bretagne,294.1,0.7,0,40.4,335.2,2.6,0.3,0.6,6.6,10,s,0,s
NOA,Nouvelle-Aquitaine,498.4,s,s,69.4,582.5,6.6,0.1,1,15.3,23,0.5,6.5,7
OCC,Occitanie,s,s,0,s,306.2,4.9,s,s,9.6,15.2,0,0,0
ARA,Auvergne-Rhône-Alpes,705.8,70.7,14.6,172,963.1,7.4,1,0.6,19.7,28.8,0.3,16.4,16.7
PAC,Provence-Alpes-Côte d'Azur,815.4,s,s,s,s,5.2,0.1,1.3,6.6,13.2,9.3,91.9,101.2
DOM,Départements d’Outre-mer,0.3,0,0,0,0.3,7.8,0,0.4,7.3,15.5,0,0,0
