SECTEUR;NB_ETAB;CMSR_CSTP;GAZR_CSTP;BIOR_CSTP;IR_CSTP;JR_CSTP;KR_CSTP;LR_CSTP;QR_CSTP;CUR_CSTP;MR_CSTP;NR_CSTP;OR_CSTP;PR_CSTP;XR_CSTP;YR_CSTP;CAR_CSTP;CR_CSTP;BR_CSTP;CONSBRT;CR_VTTP;COMBPRB;CONSNET
global;20495;5006,4;10550,9;52,3;581,5;2336,2;321,5;114,5;186,8;19097,7;1537;s;936,6;303,8;s;389,1;4141,5;1939,7;9451,5;34630,4;427,6;687;33495,1
07-09;212;0;38,4;s;0;0,4;0;3;67,4;109,2;s;0;s;0;0;0;s;s;69;194;0;s;s
10-12;3299;219,3;2410,5;17,1;0;73,6;26,6;21,7;13,5;2765,3;1,6;0;143,5;2,7;13;0,1;160,9;277;1778,2;4981,3;s;s;4731,4
13;433;0;65,9;0;0;5,4;0,8;2;0,8;74,9;0;0;0;0;0;0;0;s;s;161,4;0;0,9;160,5
14;250;0;8,9;0;0;0,2;0,1;0,9;0;10,1;0;0;0;0;0;s;s;0;s;17;0;0;17
15;248;0;22,5;0;0;71,2;s;0,6;s;95,4;0;0;s;0;0;s;0,1;0,1;12,1;107,8;0;s;s
16;763;0;66,9;0;0;4,5;0,9;5,3;11,5;89,1;0;s;s;0;s;0,1;351,6;15,4;226,4;682,6;0;52,1;630,5
17;575;s;762,7;s;0;5,5;s;3,4;3,2;817;s;s;350;0;52,7;15,2;1171,9;364,5;672,1;3025,5;s;s;2594
18;539;0;s;0;0;s;s;0,8;0;40,7;0;0;s;0;s;s;1,6;1,9;84,8;129;0;0,2;128,7
20;948;340,8;2806,1;2,7;s;2071,9;s;18,3;5,2;5255,2;1365,8;0;75;287,4;8,7;7,1;1744;1049,7;1532,4;9581,2;232,7;92,7;9255,8
21;274;0;170,4;s;0;s;s;0,8;0,1;172,8;0;0;s;s;0;s;s;s;224,2;498,3;s;s;495,5
22;1423;0;171,8;s;0;18,7;0;4,7;0,6;195,8;0;0;s;s;s;1,2;1,6;45,8;554,5;797,7;0;13,2;784,5
23;944;256,8;1766,3;3,6;419,6;s;s;8,9;s;2740,6;38,9;0;40,3;1,5;88,4;357,3;526,4;8,2;724,2;3999,4;0;2,9;3996,5
24;436;4155,8;1103,2;s;159,5;9,6;0,2;8;9,3;5445,7;7,6;0;3,5;7,9;0;0;18,9;15,1;1788;7267,7;s;s;7256,8
25;3468;s;286,8;0;s;17,1;0,4;8,8;s;326,9;0;0;s;0,8;0;s;2,6;0,5;418,8;748,7;0;0,5;748,2
26;685;0;29,8;0;0;s;0,1;0,7;s;31,8;0;0;0;0,1;0;0;0,1;1;196,2;229,1;0;0,9;228,2
27;678;s;s;s;0;s;0;1,8;0,3;148,7;0;0;s;s;0;0;0,8;1,4;163,1;313,9;0;0,5;313,4
28;1507;0;137,1;s;0;8,5;0,4;7,1;2,9;156;s;0;s;s;0;0,1;0,8;3,1;176,1;336;0;1;335
29;674;0;274,2;6,3;0;s;s;3,1;1,6;288,4;s;0;2;0,1;0,1;0,5;s;s;338,9;677,7;0;11,9;664,3
30;310;0;106;0;0;2,9;0,2;1,4;0,9;111,4;s;0;s;2,7;0;s;16,9;15,9;165,6;309,7;0;1,9;307,9
31;361;0;s;0;0;s;s;2,1;0;22,9;s;0;12,7;s;s;0;s;s;40,9;81,3;0;s;s
32;584;0;38,3;0;0;s;s;0,7;0;40,2;s;0;s;0,1;0;0;0,9;0,1;58,3;99,4;0;0,2;99,2
33;1447;0;25,1;s;s;6,5;0;4,2;s;56,4;s;0;0,1;0,1;0;0;s;s;s;196,3;0;s;s
38;435;0;s;s;0;1,2;1,2;6,4;s;103,4;s;0;s;0;0,9;s;1,9;12,4;77,8;195,4;0;1,5;193,9
