SECTEUR;GAZR_USQFAB;GAZR_USQ2;GAZR_USQ3;GAZR_USQ4;GAZR_USQ9;GAZR_CSTP;LR_USQFAB;LR_USQ2;LR_USQ3;LR_USQ4;LR_CSTP;QR_USQFAB;QR_USQ2;QR_USQ3;QR_USQ4;QR_USQ9;QR_CSTP;PR_USQ2;PR_USQ8;PR_USQ3;PR_USQ9;PR_CSTP
global;8065,7;1035,9;296,3;1118,9;34,2;10550,9;55,6;0,9;5,6;52,4;114,5;37,6;24,2;4,5;17,5;103;186,8;142,1;161,6;0;0,1;303,8
07-09;30,2;0;0;s;s;38,4;1,5;0;0;1,5;3;15,9;4;s;s;44;67,4;0;0;0;0;0
10-12;2003,4;2,1;170,9;221,7;12,5;2410,5;15,6;0,1;2,2;3,9;21,7;4;0;1,6;0,9;6,9;13,5;2,7;0;0;0;2,7
13;46,3;s;s;17,3;1,7;65,9;s;0;s;1,9;2;0,2;0;0;0;0,6;0,8;0;0;0;0;0
14;2,9;0;0;5,9;0;8,9;0,3;0;0;0,6;0,9;0;0;0;0;0;0;0;0;0;0;0
15;2,4;0;0;20;0,1;22,5;0,3;0;0;0,4;0,6;s;s;s;s;s;s;0;0;0;0;0
16;46,3;0;s;s;0;66,9;2,2;0;0;3,1;5,3;2,7;0;0;1,5;7,3;11,5;0;0;0;0;0
17;670,8;0;52,4;38,7;0,7;762,7;1,2;0;0;2,1;3,4;0,3;0;0;0,2;2,7;3,2;0;0;0;0;0
18;28,1;s;0;9,7;0,4;s;s;s;0,1;0,7;0,8;0;0;0;s;s;0;0;0;0;0;0
20;1771,9;921,8;48,3;63,9;0,3;2806,1;13,8;0;0,4;4;18,3;1;0,1;0,2;0,5;3,5;5,2;129,6;157,8;0;0;287,4
21;139,3;s;s;30,8;s;170,4;0,1;0;0,5;0,3;0,8;0;s;s;s;0,1;0,1;s;s;s;s;s
22;123,4;0,1;s;s;2,8;171,8;0,5;0;0,3;3,9;4,7;s;s;s;s;0,4;0,6;s;s;s;s;s
23;1634,4;18,3;0;112,6;1;1766,3;3,9;0,1;0,4;4,4;8,9;6,8;s;0;3,7;12,6;s;0,9;0,6;0;0;1,5
24;950,4;80,9;1,1;70,6;0,3;1103,2;5,5;s;s;2,5;8;0,7;s;s;1,8;6,4;9,3;5,6;2,3;0;0;7,9
25;184,8;0,2;0,1;100,5;1,3;286,8;s;s;0,4;7,9;8,8;0,4;0;0;s;2,2;s;0,8;0;0;0;0,8
26;6,4;s;s;22,7;0,3;29,8;0,1;0;0,1;0,6;0,7;0;0;s;s;0;s;0;0,1;0;0;0,1
27;77;s;s;51,9;1,7;s;0,7;0;0,3;0,8;1,8;0,1;0;s;s;0,2;0,3;s;0,3;0;0;s
28;54,4;1,7;0,6;79;1,4;137,1;3,6;0;0,4;3,1;7,1;0,2;1,5;0;0,1;1,1;2,9;s;0;0;0;s
29;164;s;s;102,8;3,2;274,2;0,6;0,2;0,1;2,2;3,1;s;s;0;0,3;0,5;1,6;0;0;0;0,1;0,1
30;33,1;s;s;58,7;4,4;106;0,2;s;s;0,8;1,4;0;0;0,1;0;0,8;0,9;s;s;0;0;2,7
31;6,6;s;0;11,1;0,4;s;0,3;0;0;1,8;2,1;0;0;0;0;0;0;s;s;s;s;s
32;16;0;0;21,8;0,5;38,3;0,1;s;s;0,5;0,7;0;s;s;0;0;0;s;s;0;0;0,1
33;4,1;0;s;20,1;s;25,1;1,3;s;s;2,8;4,2;s;16,4;0,1;1,9;1;s;s;s;0;0;0,1
38;69,5;0;0;s;s;s;3,5;0,2;0;2,7;6,4;4,5;0,6;s;4,1;12,8;s;0;0;0;0;0
