REGION;GAZR_USQFAB;GAZR_USQ2;GAZR_USQ3;GAZR_USQ4;GAZR_USQ9;GAZR_CSTP;LR_USQFAB;LR_USQ2;LR_USQ3;LR_USQ4;LR_CSTP;QR_USQFAB;QR_USQ2;QR_USQ3;QR_USQ4;QR_USQ9;QR_CSTP;PR_USQ2;PR_USQ8;PR_USQ3;PR_USQ9;PR_CSTP
global;8065,7;1035,9;296,3;1118,9;34,2;10550,9;55,6;0,9;5,6;52,4;114,5;37,6;24,2;4,5;17,5;103;186,8;142,1;161,6;0;0,1;303,8
11;346,2;s;7,4;s;5,8;595,8;1,5;0;0;1,8;3,3;3,8;s;s;2,8;2,3;9,3;0,1;1,3;0;0;1,4
24;302,1;1,4;41,7;49,4;1,2;395,8;s;s;s;5;s;0,4;s;s;s;1,2;3,2;s;s;0;0;0,3
27;373,8;s;s;65,7;s;453;s;0;0;4,4;s;1,9;0,8;0,2;0,3;2,4;5,6;4,9;s;0;0;s
28;731,5;267;s;64,8;s;s;2;0,1;1,1;2,4;5,5;0,3;0,1;0,2;1;6,6;8,3;s;s;0;0;s
32;1675,1;65,2;142,4;229,5;1,8;2114;7,6;0;0,3;4,7;12,7;3,4;s;s;1,6;13,3;18,5;4,2;0,5;0;0;4,8
44;1488,6;373,1;56,6;215,5;2,9;2136,8;6,8;0,3;0,3;7,3;14,7;5,6;2,1;0,2;2,4;18,2;28,6;s;0,4;0;0;s
52;281,7;s;s;82,1;4,1;370,1;1,9;0;0,5;7;9,4;1,7;1,9;0;1,4;4,9;9,9;s;s;0;0;s
53;391,5;1,1;0;33,7;0,8;427,1;3,1;0;0,4;1,9;5,4;3;0,3;0,1;0,5;3,1;7;s;s;0;s;0
75;486;4,2;5,4;58,2;6,3;560;3,2;0,1;s;3,2;s;5,1;0,2;0;2,6;17,2;25,2;0,8;0;0;0;0,8
76;252,8;s;s;57,2;0,7;s;2,1;s;s;1,9;4,6;3;s;s;0,6;9,8;13,5;0;s;0;s;0,1
84;999;69,3;16,9;153,3;4,3;1242,8;5,2;0,3;0,7;11,7;17,8;3,2;1,7;0,1;1,5;15,1;21,6;s;s;0;0;6
93;730,8;s;s;s;s;s;12,5;0;0,3;1,2;14;1,9;0,4;s;s;5,3;9,1;49,7;122,7;0;0;172,4
97;6,7;0;0;3,7;0;10,4;7,1;0;0;0;7,1;4,2;16,3;1,5;1,4;3,6;27;0;0;0;0;0
