TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Consommation d'énergie en ktep,Nombre d'établissements,"Combustibles minéraux solides
(houille, lignite - charbon
pauvre, coke de houille)",Gaz naturel et autres gaz,Biogaz et biométhane,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Gazole non routier,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Hydrogene,"Combustibles spéciaux
renouvelables","Combustibles spéciaux non
renouvelables",Total autres combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,"Consommation pour production
d'électricité",Total net
Tranche d'effectif salarié,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,20495,5006.4,10550.9,52.3,581.5,2336.2,321.5,114.5,186.8,19097.7,1537,s,936.6,303.8,s,389.1,4141.5,1939.7,9451.5,34630.4,427.6,687,33495.1
20 à 49 salariés,11423,81.8,684.5,7.1,s,189.7,s,24.3,88.4,1112.3,s,0,81.5,1.6,s,s,108.2,31.5,1096.4,2348.5,0,35.2,2313.3
50 à 99 salariés,4257,218,1087.5,8.1,152,48.8,s,22.2,s,1795.9,197.9,0,183.9,5.6,50.2,142.3,579.8,122.5,1202.1,3700.2,s,s,3679.5
100 à 249 salariés,3273,357.3,3694.9,18.6,254.3,68.5,s,30.6,s,4465.1,s,s,307.1,15.9,106.8,229.6,730.2,783.8,2377.9,8357,51.6,337,8082.2
250 à 499 salariés,1068,390.2,2864.5,s,s,987.5,52,14.8,s,4341.1,589.8,s,317.5,218.6,s,4.9,1880.6,715.1,2283,9219.9,326.6,165.8,8595
500 salariés ou plus,473,3959.1,2219.5,s,126.6,1041.6,2.6,22.7,11.1,7383.3,725,0,46.5,62.1,s,s,842.7,286.8,2492.1,11004.8,s,s,10825.1
,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,
"Source : Insee, Enquête annuelle sur les consommations d'énergie dans l'industrie 2021.",,,,,,,,,,,,,,,,,,,,,,,
