REG,Nombre d'établissements,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Gaz naturel et autres gaz,Biogaz et biométhane,Coke de pétrole,Butane propane,Fioul lourd,Fioul domestique,Gazole non routier,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Hydrogene,"Combustibles spéciaux renouvelables","Combustibles spéciaux nonrenouvelables",Total autres combustibles,Achats de vapeur,Electricité,Total brut,Vapeur vendue,"Consommation pour production d'électricité",Total net
Toutes régions,20495,5006.4,10550.9,52.3,581.5,2336.2,321.5,114.5,186.8,19097.7,1537,s,936.6,303.8,s,389.1,4141.5,1939.7,9451.5,34630.4,427.6,687,33495.1
Île-de-France,1702,24.5,595.8,1.1,s,4.1,s,3.3,9.3,638.2,0,0,s,1.4,1.7,0.4,s,s,379.5,1035.2,s,s,1026.5
Centre-Val de Loire,1062,28,395.8,s,29.3,11.7,s,s,3.2,477,33.1,0,s,0.3,s,s,s,s,312.6,851.6,0,53.5,797.7
Bourgogne-Franche-Comté,1328,15.4,453,4.6,0,s,s,s,5.6,711.6,9.5,0,48.8,s,7.1,s,112,121.1,469.4,1414.1,s,s,1409.9
Normandie,1235,14.7,s,1.2,s,s,6.2,5.5,8.3,1813.3,750.7,0,95.1,s,s,s,888,226.6,640.8,3568.7,10.7,80.4,3477.6
Hauts-de-France,2028,s,2114,8.6,s,s,6.5,12.7,18.5,5177.1,s,0,s,4.8,s,83,383.4,209.2,1802.6,7572.3,18.3,156,7397.6
Grand Est,2017,566.9,2136.8,13.7,69.7,20,1.6,14.7,28.6,2838.3,s,0,302.2,s,113.5,89.8,582,206.3,1478.6,5105.3,88.5,112,4902.6
Pays de la Loire,1833,s,370.1,1.6,s,19.9,6.1,9.4,9.9,450.1,s,0,s,s,s,60.8,99.9,51.8,458.2,1060,0,s,s
Bretagne,1242,0,427.1,s,0,23.7,4.5,5.4,7,467.7,0,s,s,0,0,s,17,50.1,382.5,917.3,s,s,912
Nouvelle-Aquitaine,1922,79.3,560,s,s,21.7,29.6,s,25.2,744.3,10.5,503.6,274.5,0.8,25.4,16.8,831.8,329.9,717.1,2623.2,s,s,2264.9
Occitanie,1398,s,s,s,57.6,13,3.5,4.6,13.5,442.9,0,s,56.6,0.1,s,45.1,264.7,47.9,429.7,1185.2,0,3.6,1181.7
Auvergne-Rhône-Alpes,3606,185.8,1242.8,4.9,156.2,177.2,20.9,17.8,21.6,1822.3,8.9,0,43,6,19.8,61.8,139.4,276.1,1609.9,3847.7,s,s,3804.2
Provence-Alpes-Côte d'Azur et Corse,818,s,s,0,59.2,1168.8,s,14,9.1,3466.5,421.6,s,s,172.4,12.8,17.9,753.4,318.3,719.2,5257.4,166.8,9.4,5081.2
Dom,304,0,10.4,7,0,0.7,3.3,7.1,27,48.5,1.8,0,0,0,4,0,5.8,86.8,51.4,192.5,0,s,s
