"NAF_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon le secteur d'activité en NAF rév.2 de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Achats et consommation en unité propre, valeur
d'achat et prix moyen des produits énergétiques","Valeur des achats de
l’ensemble des énergies (en
millions d'euros)","Quantités achetées de
combustibles minéraux solides","Quantités consommées de
combustibles minéraux solides","Valeur des achats de
combustibles minéraux solides","Prix moyen des combustibles
minéraux solides",Quantités achetées de gaz,Quantités consommées de gaz,Valeur des achats de gaz,Prix moyen du gaz,"Quantités achetées de biogaz
et biométhane","Quantités consommées de biogaz
et biométhane","Valeur des achats de biogaz et
biométhane","Prix moyen du biogaz et
biométhane","Quantités achetées de coke de
pétrole","Quantités consommées de coke
de pétrole","Valeur des achats de coke de
pétrole",Prix moyen de coke de pétrole,"Quantités achetées de
butane-propane","Quantités consommées de
butane-propane","Valeur des achats de
butane-propane",Prix moyen de butane-propane,"Quantités achetées de fioul
lourd","Quantités consommées de fioul
lourd","Valeur des achats de fioul
lourd",Prix moyen de fioul lourd,"Quantités achetées de fioul
domestique","Quantités consommées de fioul
domestique","Valeur des achats de fioul
domestique",Prix moyen de fioul domestique,"Quantités achetées de gazole
non routier","Quantités consommées de gazole
non routier","Valeur des achats de gazole
non routier","Prix moyen de gazole non
routier",Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen du bois,Quantités achetées de vapeur,Quantités consommées de vapeur,Valeur des achats de vapeur,Prix moyen de vapeur,Quantités achetées d’hydrogène,"Quantités consommées
d’hydrogène","Quantités autoproduites
d’hydrogène",Valeur des achats d’hydrogène,Prix moyen d’hydrogène,Autoproduction consommée,"Autoproduction vendue
d’hydrogène","Quantités achetées
d'électricité","Quantités consommées
d'électricité","Quantités autoproduites
d’électricité","Valeur des achats
d'électricité",Prix moyen d’électricité
"Secteur d'activité, division de la NAF rév.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total industrie,17134.9,7895.1,8063,1426.6,180.7,136596.5,137024.4,4749.5,34.8,250.7,678.6,11.1,44.4,739.5,763.1,136.5,184.6,2048.6,2133.5,1063.8,519.3,300.2,337.7,197.1,656.6,131736.9,135556.2,95,0.72,221354.4,221122,162,0.73,2189.7,3644.4,107.6,49.2,26939.8,26939.8,903.6,33.5,25.4,90.2,115.6,73.4,2890.3,64.8,50.7,105892.5,109901.3,6784.7,8213.3,77.6
07 - 08 – 09 Toutes les Industries extractives,144.6,0,0,0,0,498.9,498.9,11.9,23.8,s,s,s,s,0,0,0,0,0.4,0.4,0.3,673.1,0,0,0,0,3545,3539.3,2.7,0.75,79395.5,79738.8,59.5,0.75,s,s,s,s,s,s,s,s,0,0,0,0,0,0,0,s,801.9,s,67.5,s
"10 – 11 – 12 Industries alimentaires, Fabrication
de boissons, Fabrication de produits à base de
tabac",2915.1,404.5,416.5,74.2,183.5,31116.3,31305.7,1041.6,33.5,32.7,222.2,1.6,49,0,0,0,0,67.3,67.2,47.7,708.9,28.4,28,21.4,755.8,25047.6,25720,17.2,0.69,15923.7,15976.9,11.6,0.73,547.6,558.3,27.6,50.4,3847,3847,97.1,25.2,0.8,0.8,0,4.4,5555.7,0,0,19123.4,20676.3,2478.8,1569.6,82.1
13 - Fabrication de textiles,114.4,0,0,0,0,856.1,856.1,27.3,31.8,0,0,0,0,0,0,0,0,4.9,5,3.3,666.1,0.9,0.8,s,s,2425.7,2415.2,1.8,0.75,937.2,945.4,s,s,0.1,0.1,0,147.9,s,s,s,s,0,0,0,0,0,0,0,915.4,s,s,78.6,85.9
14 - Industrie de l'habillement,14.2,0,0,0,0,115.1,115.1,4.4,38,0,0,0,0,0,0,0,0,0.2,0.2,0.2,1024.7,0.1,0.1,0.1,900,1027.9,1023.1,0.7,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s,s,s,8.8,s
15 - Industrie du cuir et de la chaussure,26.8,0,0,0,0,292.8,292.8,10.7,36.4,0,0,0,0,0,0,0,0,1.3,65,1,710.5,0,s,0,0,744.7,752.4,s,s,s,s,s,s,0.2,s,0,107,1,1,0.2,158.8,0,0,0,0,0,0,0,s,141.1,13.4,14.4,s
