"Répartition de la consommation de combustibles par usage en ktep","Quantités de gaz consommées pour la fabrication","Quantités de gaz consommées en tant que matières premières","Quantités de gaz consommées pour la production d’électricité","Quantités de gaz consommées pour le chauffage ou un autre usage","Quantités de gaz consommées pour la mobilité sur site",Quantités de gaz consommées,"Quantités de fioul domestique consommées pour la fabrication","Quantités de fioul domestique consommées en tant que matières premières","Quantités de fioul domestique consommées pour la production d’électricité","Quantités de fioul domestique consommées pour le chauffage ou un autre usage","Quantités de fioul domestique consommées","Quantités de gazole non routier consommées pour la fabrication","Quantités de gazole non routier consommées en tant que matières premières","Quantités de gazole non routier consommées pour la production d’électricité","Quantités de gazole non routier consommées pour le chauffage ou un autre usage","Quantités de gazole non routier consommées pour la mobilité sur site","Quantités de gazole non routier consommées","Quantités d’hydrogène consommées en tant que matières premières","Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité)","Quantités d’hydrogène utilisées pour la production d’électricité","Quantités d’hydrogène utilisées pour la mobilité sur site","Quantités d’hydrogène consommées"
Total industrie,8065.7,1035.9,296.3,1118.9,34.2,10550.9,55.6,0.9,5.6,52.4,114.5,37.6,24.2,4.5,17.5,103,186.8,142.1,161.6,0,0.1,303.8
07 - 08 – 09 Toutes les Industries extractives,30.2,0,0,s,s,38.4,1.5,0,0,1.5,3,15.9,4,s,s,44,67.4,0,0,0,0,0
"10 – 11 – 12 Industries alimentaires, Fabrication de boissons, Fabrication de produits à base de tabac",2003.4,2.1,170.9,221.7,12.5,2410.5,15.6,0.1,2.2,3.9,21.7,4,0,1.6,0.9,6.9,13.5,2.7,0,0,0,2.7
13 - Fabrication de textiles,46.3,s,s,17.3,1.7,65.9,s,0,s,1.9,2,0.2,0,0,0,0.6,0.8,0,0,0,0,0
14 - Industrie de l'habillement,2.9,0,0,5.9,0,8.9,0.3,0,0,0.6,0.9,0,0,0,0,0,0,0,0,0,0,0
15 - Industrie du cuir et de la chaussure,2.4,0,0,20,0.1,22.5,0.3,0,0,0.4,0.6,s,s,s,s,s,s,0,0,0,0,0
"16 - Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",46.3,0,s,s,0,66.9,2.2,0,0,3.1,5.3,2.7,0,0,1.5,7.3,11.5,0,0,0,0,0
17 - Industrie du papier et du carton,670.8,0,52.4,38.7,0.7,762.7,1.2,0,0,2.1,3.4,0.3,0,0,0.2,2.7,3.2,0,0,0,0,0
18 - Imprimerie et reproduction d'enregistrements,28.1,s,0,9.7,0.4,s,s,s,0.1,0.7,0.8,0,0,0,s,s,0,0,0,0,0,0
20 - Industrie chimique,1771.9,921.8,48.3,63.9,0.3,2806.1,13.8,0,0.4,4,18.3,1,0.1,0.2,0.5,3.5,5.2,129.6,157.8,0,0,287.4
21 - Industrie pharmaceutique,139.3,s,s,30.8,s,170.4,0.1,0,0.5,0.3,0.8,0,s,s,s,0.1,0.1,s,s,s,s,s
"22 - Fabrication de produits en caoutchouc et en plastique",123.4,0.1,s,s,2.8,171.8,0.5,0,0.3,3.9,4.7,s,s,s,s,0.4,0.6,s,s,s,s,s
"23 - Fabrication d'autres produits minéraux non métalliques",1634.4,18.3,0,112.6,1,1766.3,3.9,0.1,0.4,4.4,8.9,6.8,s,0,3.7,12.6,s,0.9,0.6,0,0,1.5
24 - Métallurgie,950.4,80.9,1.1,70.6,0.3,1103.2,5.5,s,s,2.5,8,0.7,s,s,1.8,6.4,9.3,5.6,2.3,0,0,7.9
"25 - Fabrication de produits métalliques, à l'exception des machines et des équipements",184.8,0.2,0.1,100.5,1.3,286.8,s,s,0.4,7.9,8.8,0.4,0,0,s,2.2,s,0.8,0,0,0,0.8
"26 - Fabrication de produits informatiques, électroniques et optiques",6.4,s,s,22.7,0.3,29.8,0.1,0,0.1,0.6,0.7,0,0,s,s,0,s,0,0.1,0,0,0.1
27 - Fabrication d'équipements électriques,77,s,s,51.9,1.7,s,0.7,0,0.3,0.8,1.8,0.1,0,s,s,0.2,0.3,s,0.3,0,0,s
28 - Fabrication de machines et équipements n.c.a.,54.4,1.7,0.6,79,1.4,137.1,3.6,0,0.4,3.1,7.1,0.2,1.5,0,0.1,1.1,2.9,s,0,0,0,s
29 - Industrie automobile,164,s,s,102.8,3.2,274.2,0.6,0.2,0.1,2.2,3.1,s,s,0,0.3,0.5,1.6,0,0,0,0.1,0.1
30 - Fabrication d'autres matériels de transport,33.1,s,s,58.7,4.4,106,0.2,s,s,0.8,1.4,0,0,0.1,0,0.8,0.9,s,s,0,0,2.7
31 - Fabrication de meubles,6.6,s,0,11.1,0.4,s,0.3,0,0,1.8,2.1,0,0,0,0,0,0,s,s,s,s,s
32 - Autres industries manufacturières,16,0,0,21.8,0.5,38.3,0.1,s,s,0.5,0.7,0,s,s,0,0,0,s,s,0,0,0.1
"33 - Réparation et installation de machines et d'équipements",4.1,0,s,20.1,s,25.1,1.3,s,s,2.8,4.2,s,16.4,0.1,1.9,1,s,s,s,0,0,0.1
38 - Récupération,69.5,0,0,s,s,s,3.5,0.2,0,2.7,6.4,4.5,0.6,s,4.1,12.8,s,0,0,0,0,0
