"Achats et consommation en unité propre, valeur d'achat et prix moyen des produits énergétiques","Valeur des achats de l’ensemble des énergies (en millions d'euros)","Quantités achetées de combustibles minéraux solides","Quantités consommées de combustibles minéraux solides","Valeur des achats de combustibles minéraux solides","Prix moyen des combustibles minéraux solides",Quantités achetées de gaz,Quantités consommées de gaz,Valeur des achats de gaz,Prix moyen du gaz,"Quantités achetées de biogaz et biométhane","Quantités consommées de biogaz et biométhane","Valeur des achats de biogaz et biométhane","Prix moyen du biogaz et biométhane","Quantités achetées de coke de pétrole","Quantités consommées de coke de pétrole","Valeur des achats de coke de pétrole",Prix moyen de coke de pétrole,"Quantités achetées de butane-propane","Quantités consommées de butane-propane","Valeur des achats de butane-propane",Prix moyen de butane-propane,"Quantités achetées de fioul lourd","Quantités consommées de fioul lourd","Valeur des achats de fioul lourd",Prix moyen de fioul lourd,"Quantités achetées de fioul domestique","Quantités consommées de fioul domestique","Valeur des achats de fioul domestique",Prix moyen de fioul domestique,"Quantités achetées de gazole non routier","Quantités consommées de gazole non routier","Valeur des achats de gazole non routier","Prix moyen de gazole non routier",Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen du bois,Quantités achetées de vapeur,Quantités consommées de vapeur,Valeur des achats de vapeur,Prix moyen de vapeur,Quantités achetées d’hydrogène,"Quantités consommées d’hydrogène","Quantités autoproduites d’hydrogène",Valeur des achats d’hydrogène,Prix moyen d’hydrogène,Autoproduction consommée,"Autoproduction vendue d’hydrogène","Quantités achetées d'électricité","Quantités consommées d'électricité","Quantités autoproduites d’électricité","Valeur des achats d'électricité",Prix moyen d’électricité
Toutes régions,17134.9,7895.1,8063,1426.6,180.7,136596.5,137024.4,4749.5,34.8,250.7,678.6,11.1,44.4,739.5,763.1,136.5,184.6,2048.6,2133.5,1063.8,519.3,300.2,337.7,197.1,656.6,131736.9,135556.2,95,0.72,221354.4,221122,162,0.73,2189.7,3644.4,107.6,49.2,26939.8,26939.8,903.6,33.5,25.4,90.2,115.6,73.4,2890.3,64.8,50.7,105892.5,109901.3,6784.7,8213.3,77.6
Île-de-France,688.4,33.4,39.4,4.9,145.9,7737.8,7737.8,276.9,35.8,13.6,13.6,0.6,46.1,s,s,s,s,3.6,3.7,2.6,709.3,s,s,s,s,3834.8,3940,2.9,0.76,11061.2,11036.8,8.8,0.79,s,s,s,s,s,s,6.6,s,0.4,0.4,0,0.9,2051.3,0,0,s,4412.9,80.6,376.7,s
Centre-Val de Loire,534.3,44.2,45,5.3,119.2,5122,5140.6,217.8,42.5,4.9,s,0.2,47.6,36.7,38.4,4.1,110.9,10.5,10.7,s,s,s,s,s,s,s,s,7.7,s,3725.1,3802.5,s,s,14.9,s,1.2,80.9,s,s,1.1,s,0.1,0.1,0,0.7,9219.7,0,0,3428,3635.2,368.1,284.3,82.9
Bourgogne-Franche-Comté,901.5,23.8,24.5,4.2,176.5,5878.6,5882.6,208.9,35.5,55.8,59.8,2.5,45,0,0,0,0,s,s,s,s,s,s,s,s,s,s,4.5,s,6602.5,6599.5,5.1,0.77,63.3,190,2.8,44.1,1681.8,1681.8,s,s,s,s,s,7,s,s,0,s,5458.3,45.2,440.3,s
Normandie,1514,24.7,23.6,s,s,s,s,477.4,s,s,15.1,s,s,s,s,s,s,s,s,s,s,7.3,6.5,3.2,441.6,6414.7,6550.6,4.6,0.72,9765,9816.6,7.2,0.74,292.8,370,s,s,3147.7,3147.7,148.3,47.1,0.4,s,s,s,s,s,0,s,7451,610.5,556.9,s
Hauts-de-France,3287,s,s,s,s,27343.1,27454.7,880.3,32.2,0,111.7,s,0,s,s,43.2,s,s,s,87.9,s,2.4,6.8,1.2,503.2,14910.6,14994.4,10.1,0.68,21860.9,21928.2,16.3,0.75,93.3,s,s,s,2906,2906,s,s,1.4,1.4,0,8,5696.3,0,0,19623.2,20959.9,1388.8,1415.1,72.1
Grand Est,2682.4,972.9,967.4,167.7,172.3,27633.4,27750.6,1019.6,36.9,s,178.3,s,s,95.3,91.5,11.4,120,17.3,18.3,14.1,814.1,1.5,1.7,s,s,17390.7,17390.3,12.7,0.73,34028.5,33801.7,25.1,0.74,922.7,1175.8,44.9,48.6,2865.9,2865.9,85.8,29.9,s,s,s,9,s,s,0,16549,17193.6,1128.1,1292.9,78.1
Pays de la Loire,660.4,s,s,s,s,4805.1,4805.9,156.1,32.5,20.3,21.1,1,47.6,s,s,s,s,17.9,18.2,13.2,738.8,6.3,6.5,3.9,610.7,10963.9,11080.3,8.5,0.77,11681.7,11688.4,9.4,0.81,59.3,s,3.1,52.3,718.8,718.8,14.8,20.6,s,s,0,s,s,0,0,5262.3,5327.8,87.9,442.8,84.1
Bretagne,585.5,0,0,0,0,5546.2,5546.7,179.2,32.3,0,s,0,0,0,0,0,0,17.4,21.6,11.9,685.8,4.4,4.7,3.1,704.9,6314.6,6442,4.7,0.75,8343.1,8260.9,6.3,0.75,0.1,s,0,339.8,695.2,695.2,24.2,34.8,0,0,0,0.1,10364.3,0,0,s,4447.7,65.2,356,s
Nouvelle-Aquitaine,1067,124.3,127,21.9,176.2,7248.7,7272.9,231.9,32,69.2,s,s,s,s,s,s,s,19.2,19.8,14.6,761.6,30.8,31.1,15.2,492.8,s,s,5.8,s,29908.1,29823.3,22.7,0.76,527,1068.1,23.1,43.9,4582.3,4582.3,111.9,24.4,0.3,0.3,0,2,8120.1,0,0,7754.1,8338.9,1615.4,615.4,79.4
Occitanie,579.2,s,s,8.2,s,s,s,126.6,s,s,s,s,s,73.8,75.5,8.3,112.7,11.7,11.9,s,s,4.6,3.6,2.4,508,5492.1,5403.4,s,s,15895.8,15998.2,10.9,0.69,49.5,220.1,2.8,56.2,665.7,665.7,23.1,34.7,0,0,0,0.2,4662.8,0,0,s,4996.3,383,384.5,s
Auvergne-Rhône-Alpes,2242.2,292.7,295.6,77,263.1,16090.4,16139.8,526.9,32.7,14.6,64,0.6,42.5,196.7,205,50.4,256.4,97.2,161.8,87,894.7,19.9,22,9.4,471,20261.1,21123,14.7,0.73,25652.5,25563.1,18.5,0.72,145.5,167.3,4.4,30.2,3835,3835,125.2,32.7,0.8,1.8,s,4.4,5644.1,1,s,18473.1,18719.6,338,1324.1,71.7
Provence-Alpes-Côte d'Azur et Corse,2276.6,s,s,s,s,s,s,445.8,s,0,0,0,0,76.6,77.8,s,s,1056.2,1067.4,516.3,488.8,s,s,s,s,14633.5,16625.9,s,s,10741,10798.7,s,s,s,s,s,s,4421.5,4421.5,184.3,41.7,s,51.2,94.4,38.7,s,s,s,8070.9,8362.6,652.3,660,81.8
Dom,116.3,0,0,0,0,48.4,134.9,2.1,44.2,4.6,91,0.2,42.2,0,0,0,0,0.7,0.6,0.8,1136.8,3.5,3.5,2.7,778.2,8247.6,8368.9,4.8,0.58,32089,32003.9,20.6,0.64,0,0.1,0.1,1469.5,1205.4,1205.4,20,16.6,0,0,0,0,0,0,0,s,597.3,21.5,64.4,s
