reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,2242.2,292.7,295.6,77,263.1,16090.4,16139.8,526.9,32.7,14.6,64,0.6,42.5,196.7,205,50.4,256.4,97.2,161.8,87,894.7,19.9,22,9.4,471,20261.1,21123,14.7,0.73,25652.5,25563.1,18.5,0.72,145.5,167.3,4.4,30.2,7670,125.2,32.7,0.8,1.8,,4.4,5644.1,1,,18473.1,18719.6,338.0,1324.1,71.7
BFC,Bourgogne-Franche-Comté,901.5,23.8,24.5,4.2,176.5,5878.6,5882.6,208.9,35.5,55.8,59.8,2.5,45,0,0,0,0,,,,,,,,,,,4.5,,6602.5,6599.5,5.1,0.77,63.3,190,2.8,44.1,3363.6,,,,,,7,,,0,,5458.3,45.2,440.3,
BRE,Bretagne,585.5,0,0,0,0,5546.2,5546.7,179.2,32.3,0,,0,0,0,0,0,0,17.4,21.6,11.9,685.8,4.4,4.7,3.1,704.9,6314.6,6442,4.7,0.75,8343.1,8260.9,6.3,0.75,0.1,,0,339.8,1390.4,24.2,34.8,0,0,0,0.1,10364.3,0,0,,4447.7,65.2,356.0,
CVL,Centre-Val de Loire,534.3,44.2,45,5.3,119.2,5122,5140.6,217.8,42.5,4.9,,0.2,47.6,36.7,38.4,4.1,110.9,10.5,10.7,,,,,,,,,7.7,,3725.1,3802.5,,,14.9,,1.2,80.9,,1.1,,0.1,0.1,0,0.7,9219.7,0,0,3428,3635.2,368.1,284.3,82.9
DOM,Départements d’Outre-mer,116.3,0,0,0,0,48.4,134.9,2.1,44.2,4.6,91,0.2,42.2,0,0,0,0,0.7,0.6,0.8,1136.8,3.5,3.5,2.7,778.2,8247.6,8368.9,4.8,0.58,32089.0,32003.9,20.6,0.64,0,0.1,0.1,1469.5,2410.8,20,16.6,0,0,0,0,0,0,0,,597.3,21.5,64.4,
FRA,France,17134.9,7895.1,8063,1426.6,180.7,136596.5,137024.4,4749.5,34.8,250.7,678.6,11.1,44.4,739.5,763.1,136.5,184.6,2048.6,2133.5,1063.8,519.3,300.2,337.7,197.1,656.6,131736.9,135556.2,95,0.72,221354.4,221122.0,162,0.73,2189.7,3644.4,107.6,49.2,53879.6,903.6,33.5,25.4,90.2,115.6,73.4,2890.3,64.8,50.7,105892.5,109901.3,6784.7,8213.3,77.6
GRE,Grand Est,2682.4,972.9,967.4,167.7,172.3,27633.4,27750.6,1019.6,36.9,,178.3,,,95.3,91.5,11.4,120,17.3,18.3,14.1,814.1,1.5,1.7,,,17390.7,17390.3,12.7,0.73,34028.5,33801.7,25.1,0.74,922.7,1175.8,44.9,48.6,5731.8,85.8,29.9,,,,9,,,0,16549,17193.6,1128.1,1292.9,78.1
HDF,Hauts-de-France,3287.0,,,,,27343.1,27454.7,880.3,32.2,0,111.7,,0,,,43.2,,,,87.9,,2.4,6.8,1.2,503.2,14910.6,14994.4,10.1,0.68,21860.9,21928.2,16.3,0.75,93.3,,,,5812,,,1.4,1.4,0,8,5696.3,0,0,19623.2,20959.9,1388.8,1415.1,72.1
IDF,Ile-de-France,688.4,33.4,39.4,4.9,145.9,7737.8,7737.8,276.9,35.8,13.6,13.6,0.6,46.1,,,,,3.6,3.7,2.6,709.3,,,,,3834.8,3940,2.9,0.76,11061.2,11036.8,8.8,0.79,,,,,,6.6,,0.4,0.4,0,0.9,2051.3,0,0,,4412.9,80.6,376.7,
NOA,Nouvelle-Aquitaine,1067.0,124.3,127,21.9,176.2,7248.7,7272.9,231.9,32,69.2,,,,,,,,19.2,19.8,14.6,761.6,30.8,31.1,15.2,492.8,,,5.8,,29908.1,29823.3,22.7,0.76,527,1068.1,23.1,43.9,9164.6,111.9,24.4,0.3,0.3,0,2,8120.1,0,0,7754.1,8338.9,1615.4,615.4,79.4
