SL_T1 : Chiffres clés relatifs à la consommation d'énergie dans l'industrie (y compris IAA) avant la rupture de série de 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
,,,,,,,,,,
Consommation nette (en millions de TEP),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Facture énergétique (en millions d'euros courants),7603,7894,7770,7569,8477,8762,8327,8462,9031,10356
Electricité consommée hors utilisation en tant que matière première (en %),37,38,38,38,39,39,38,39,39,40
"Combustibles minéraux solides (houille, lignite, coke de houille) consommés hors utilisation en tant que matière première (en %)",6,5,5,4,6,4,7,5,4,5
Gaz de réseau consommé hors utilisation en tant que matière première (en %),38,38,39,39,38,38,36,38,37,37
"Produits pétroliers (coke de pétrole, butane-propane, fioul lourd, fioul domestique et gazole non routier) consommés hors utilisation en tant que matière première (en %)",18,17,17,16,14,14,13,12,13,12
Vapeur consommée hors utilisation en tant que matière première (en %),2,2,2,3,4,5,6,6,6,7
Énergies non marchandes consommées hors utilisation en tant que matière première (en %),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Total (en %),100,100,100,100,100,100,100,100,100,100
Prix moyen annuel de l'électricité (en € / Mwh),46,45,43,42,40,39,39,39,42,45
Prix moyen annuel de la vapeur (en € / t),10,11,10,10,13,13,13,13,13,18
Prix moyen annuel du gaz de réseau (en € / Mwh),11,12,11,11,15,17,16,17,16,20
Prix moyen annuel du Biogaz et biométhane (en € /t),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Prix moyen annuel de la houille (en € / t),52,57,54,46,52,64,67,59,65,90
"Prix moyen annuel de la lignite, du charbon pauvre (en € / t)",nd,nd,nd,nd,nd,nd,nd,nd,nd,97
Prix moyen annuel du coke de houille (en € / t),119,113,112,98,109,134,129,127,238,227
Prix moyen annuel du coke de pétrole (en € / t),81,84,76,76,136,113,113,113,98,88
Prix moyen annuel du butane-propane (en € / t),194,209,175,212,329,301,278,286,315,397
Prix moyen annuel du fioul lourd (en € / t),116,115,96,116,182,164,174,186,173,228
Prix moyen annuel du fioul domestique (en € / l),0.2,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4
Prix moyen annuel du gazole non routier (en € / l),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Prix moyen annuel du bois (en € / t),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
Prix moyen annuel d’hydrogène (en €/t),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
,,,,,,,,,,
"Champ : avant la rupture de série (2005) : France métropolitaine, industrie hors industrie agroalimentaire, hors industrie de l'énergie, établissements de 20 salariés ou plus.",,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,
Notes : ,,,,,,,,,,
"Depuis 2019, la consommation d’énergie inclut l’hydrogène. La base de sondage a été élargie en 2013 entraînant une rupture de série (la nouvelle base de sondage comprend plus d’unités ce qui a un impact à la hausse sur les résultats). Néanmoins, les données sur la période 2005-2013 ont été estimées pour être comparable aux années postérieures.",,,,,,,,,,
"La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,
