TEFF_T1 : Consommation d'énergie en milliers de tonnes-équivalent-pétrole (kTEP) et nombre d'établissements selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Nombre d’établissements,"Combustibles minéraux solides (houille, lignite, charbon pauvre,  coke de houille)",Quantités de gaz naturel et autres gaz consommées,Biogaz et biométhane,Coke de pétrole,Butane propane,Fioul lourd,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Quantités d’hydrogène consommées,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Achats de vapeur,Électricité,Total brut de la consommation (en milliers de TEP),Vapeur vendue,Consommation pour production d'électricité,Total net de la consommation (en milliers de TEP)
,,,,,,,,,,,,,,,,,,,,,,,
20 à 49 salariés,11462,20.2,517.6,s,27.6,88.6,23,24,80.2,781.3,1.4,0,128.9,s,s,73.2,225.2,80.3,1143.7,2230.5,s,s,2207.4
50 à 99 salariés,4268,153.9,990.9,s,152.4,s,s,11.5,40.7,1406.7,190.9,0,292.6,s,s,152.8,687.5,150.8,1103.7,3348.8,s,s,3345.4
100 à 249 salariés,3242,259.6,3444.1,26.8,324.1,73,19.9,21.1,40.7,4182.5,10.3,s,289.8,s,126.6,207.1,716,710,2343.9,7952.4,s,s,7757.2
250 à 499 salariés,1016,354.4,2679.2,14.5,8.7,s,55.4,s,11.4,3756.4,230.7,s,335.9,208.8,s,s,1517.6,560.7,2083.7,7918.3,195.7,325.3,7397.4
500 salariés et plus,458,3776.6,1931.6,14.2,111.7,871.8,s,s,15,6802.9,669.5,0,48.6,138.7,s,s,866.9,344.4,2562.9,10577.1,36.9,283.7,10256.5
Total,20446,4564.6,9563.3,s,624.5,1716.9,131.6,140.7,188,16929.6,1102.7,s,1095.9,376.9,s,449.3,4013.3,1846.3,9238,32027.1,270.7,791.8,30963.9
,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,,,,,,,,,,,,,,
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,
