TEFF_T5 : Contrats d’électricité et de gaz selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2022 (en %),Proportion d’établissements avec un contrat d’électricité au tarif réglementé (en %),Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle (en %),Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé (en %),Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros (en %),Proportion d’établissements avec un autre type de contrat d’électricité (en %),Proportion d’établissements qui consomment du gaz (en %),Proportion d’établissements ayant renouvelé leur contrat de gaz en 2022 (en %),Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle (en %),Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros (en %),Proportion d’établissements avec un autre type de contrat de gaz (en %)
,,,,,,,,,,,
20 à 49 salariés,21.6,17.5,54.3,6,7.6,14.6,42.6,20.5,83,11.6,5.4
50 à 99 salariés,26.1,13.9,55,5.2,12.4,13.5,57,22.2,77.7,15.5,6.8
100 à 249 salariés,25.6,11,50.1,5.7,17.2,16,72.7,21,63,27,10
250 à 499 salariés,23.9,9.4,42.8,5.1,23.4,19.2,84.9,23.2,53.1,32.1,14.8
500 salariés et plus,19.7,6.3,39.1,4.8,29.1,20.6,89.7,22.9,44.8,40.4,14.8
Total,23.2,15.1,52.9,5.7,11.4,15,53.5,21.3,73.7,18.5,7.8
,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,,
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,
