NAF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène consommées
,,,,,,,,,,,,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",30.3,0,0,0.3,0,30.6,0,0,0,0.1,0.1,12.6,0,0.2,3,52.7,68.5,0,0,0,0,0,0
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2093.2,0.7,315.7,105.5,2.2,2517.3,13.1,0,1.8,5.7,20.6,5.3,1.5,2.3,2,2.9,14,2.5,0,0,0,0,2.5
13,Fabrication de textiles,67.8,0,s,9.9,s,78.8,s,0,0,0.7,s,0.7,0,0,0,0.2,0.9,0,0,0,0,0,0
14,Industrie de l'habillement,7.8,0,0,13.2,0,21,0,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0
15,Industrie du cuir et de la chaussure,5.2,0,0,3.7,0.1,8.9,s,0,0,0.5,s,0,0,0,0,0,0,0,0,0,0,0,0
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",s,0,s,2.7,0,45.9,0.4,0.1,0,1.6,2.1,1,s,s,1,9.9,11.8,0,0,0,0,0,0
17,Industrie du papier et du carton,648.3,0,57.1,25,0.4,730.8,0.8,0,0,1.8,2.6,0.4,0,s,s,2.3,2.9,0,0,0,0,0,0
18,Imprimerie et reproduction d'enregistrements,17.3,s,0,17.2,s,34.6,0,0,s,0.6,s,0,0,s,s,0,0,0,0,0,0,0,0
