"TEFF_T4 : Autoproduction, achats et consommation d'électricité par usage en GWh selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Autoproduction d'origine thermique,Autoproduction d’origine non thermique,Autoproduction électricité,Autoproduction vendue,Autoproduction consommée,Achats d’électricité,Quantités consommées d’électricité,Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,Usages thermodynamiques hors chauffage des locaux (Prod. Froid),Usage éclairage,Usage mobilité sur site
,,,,,,,,,,,,,,
20 à 49 salariés,s,s,427.6,114.6,312.9,12986,13298.9,6695.2,1013.7,539.4,1593.7,2451,909.5,96.3
50 à 99 salariés,s,s,238.8,45.1,193.7,12640.2,12833.9,7517.6,1217.5,430.9,762.8,2326.8,527.2,51.2
100 à 249 salariés,1340.4,112.9,1453.3,672,781.2,26473.6,27254.8,16134.2,2863,1718.9,1649.9,3821.8,960.3,106.8
250 à 499 salariés,2255.6,220.9,2476.5,1449.9,1026.6,23203,24229.6,14153.7,2671.2,2549.7,1096.1,3144.5,562.9,51.4
500 salariés et plus,s,s,3279.9,355,2924.9,26876.1,29801,16648.5,2389.7,5967.1,1596.2,2487.6,676.9,35
Total,6748.4,1127.6,7876,2636.8,5239.3,102178.9,107418.2,61149.2,10155.1,11206,6698.7,14231.7,3636.7,340.7
,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,,,,,
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,
