ID,NAF,Nombre d’établissements,"Combustibles minéraux solides (houille, lignite, charbon pauvre,  coke de houille)",Quantités de gaz naturel et autres gaz consommées,Biogaz et biométhane,Coke de pétrole,Butane propane,Fioul lourd,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées,Total combustibles usuels,Autres produits pétroliers,Liqueurs noires,Bois et sous-produit du bois,Quantités d’hydrogène consommées,Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Total autres combustibles,Achats de vapeur,Électricité,Total brut de la consommation (en milliers de TEP),Vapeur vendue,Consommation pour production d'électricité,Total net de la consommation (en milliers de TEP)
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",223,0,30.6,s,0,0.6,0.2,0.1,68.5,100,s,0,s,0,0.5,0,s,s,68.6,186.5,0,0.2,186.4
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",3397,84.4,2517.3,26.5,0,77.5,3.3,20.6,14,2717.3,0.8,0,104.3,2.5,17,0,124.7,255.7,1966.3,5063.9,60.4,320.5,4683
13,Fabrication de textiles,450,0,78.8,0,0,6,0,s,0.9,s,0,0,0,0,0,0,0,s,80.4,174,0,s,s
14,Industrie de l'habillement,225,0,21,0,0,0.3,0,0.3,0,21.5,0,0,0,0,s,s,0.5,0,6.9,28.9,0,0,28.7
15,Industrie du cuir et de la chaussure,254,0,8.9,0,0,0.5,s,s,0,10.1,0,0,0.2,0,0,0,0.2,0.1,11,21.4,0,s,s
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",738,0,45.9,0,0,4.4,0.2,2.1,11.8,64.4,0,s,397.1,0,s,0,401.5,20.3,205.8,692.1,0,31,661.1
17,Industrie du papier et du carton,586,0,730.8,14,0,6.4,36.7,2.6,2.9,779.5,s,s,298.8,0,109.7,13.4,1173,361.5,647.1,2961.2,s,s,2605.1
18,Imprimerie et reproduction d'enregistrements,525,0,34.6,0,0,1.4,0,s,0,s,0,0,s,0,s,s,s,s,89,127.8,0,s,s
20,Industrie chimique,942,303.6,2516.4,8.4,s,1535.5,20.3,s,s,4446.7,1028.8,0,170.8,362.4,5.5,8,1575.5,991.8,1423.1,8437.1,s,s,8169.6
21,Industrie pharmaceutique,268,0,167.4,4.5,0,1.1,0.1,0.9,0.2,169.7,0,0,0,s,s,s,s,s,218.6,464.3,s,s,461.1
22,Fabrication de produits en caoutchouc et en plastique,1409,0,159.2,s,0,11.6,8.1,4.1,0.9,183.8,0,0,s,0,s,s,0.9,39.6,511.4,735.7,s,s,734
23,Fabrication d'autres produits minéraux non métalliques,944,226.6,1506,s,478.7,13.2,55.5,12.5,26.8,2319.2,38.8,0,91.7,1.2,99.6,349.1,580.5,9.4,713.9,3623,0,0.8,3622.2
24,Métallurgie,415,3929.7,899.3,0,143.9,7.2,1,10.2,9.6,5000.9,s,0,s,6.2,0,s,9.3,20.9,1649.7,6680.7,s,s,6672.5
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",3335,s,233.1,0,s,19.6,4.4,s,2.8,275.4,0,0,s,1.3,s,0.2,s,s,425.7,705.5,0,4.7,700.9
26,"Fabrication de produits informatiques, électroniques et optiques",719,0,26.3,s,0,0.3,0,0.8,0.2,27.7,0,0,s,s,0,s,0.1,1.3,195.2,224.3,0,0.4,223.8
27,Fabrication d'équipements électriques,646,s,71.1,0.8,0,1.8,s,1.7,s,87,0,0,s,s,0,s,1.4,1.4,170,259.8,0,s,s
28,Fabrication de machines et équipements n.c.a.,1538,0,99.5,0,0,8.3,0.2,5.7,5.4,119.1,s,0,s,0.1,0,0,s,s,150.4,277,0,0.3,276.7
29,Industrie automobile,660,0,213.6,3.9,0,9,s,1.1,s,225.5,0,0,s,s,s,s,0.6,15.7,312.7,554.5,0,3,551.5
30,Fabrication d'autres matériels de transport,338,0,96,2.5,0,2.4,s,1.6,s,101.6,s,0,s,2.1,0,0,6.9,12.1,159.4,279.9,0,1.2,278.7
31,Fabrication de meubles,396,0,16.5,0,0,2.4,0,2,0,20.9,0,0,17.6,s,s,0,17.6,0,33.2,71.7,0,0,71.7
32,Autres industries manufacturières,580,0,22.4,0,0,3,0,0.2,0.1,25.7,0,0,0,s,0,0,s,s,52.4,78.1,0,0.1,78
33,Réparation et installation de machines et d'équipements,1441,0,s,s,0,1.6,s,s,9.7,26.6,s,0,s,s,0,0,0.2,1.4,81.9,110.1,0,2.5,107.6
38,"Collecte, traitement et élimination des déchets ; récupération",416,0,s,s,0,2.8,s,s,s,83.3,s,0,s,0,s,s,99.3,21.7,65.2,269.5,0,0.4,269.2
_T,Total,20446,4564.6,9563.3,s,624.5,1716.9,131.6,140.7,188,16929.6,1102.7,s,1095.9,376.9,s,449.3,4013.3,1846.3,9238,32027.1,270.7,791.8,30963.9
