"REG_T2 : Achats et consommation en unité propre, valeur d'achat et prix moyens des produits énergétiques selon la région",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Facture énergétique (en millions d'euros courants),Quantités achetées de combustibles minéraux solides,Quantités consommées de combustibles minéraux solides,Valeur des achats de combustibles minéraux solides,Prix moyen des combustibles minéraux solides,Quantités achetées de gaz,Quantités de gaz consommées,Valeur des achats de gaz,Prix moyen annuel du gaz de réseau (en € / Mwh),Quantités achetées de biogaz et biométhane,Quantités consommées de biogaz et biométhane,Valeur des achats de biogaz et biométhane,Prix moyen annuel du Biogaz et biométhane (en € /t),Quantités achetées de coke de pétrole,Quantités consommées de coke de pétrole,Valeur des achats de coke de pétrole,Prix moyen annuel du coke de pétrole (en € / t),Quantités achetées de butane-propane,Quantités consommées de butane-propane,Valeur des achats de butane-propane,Prix moyen annuel du butane-propane (en € / t),Quantités achetées de fioul lourd,Quantités consommées de fioul lourd,Valeur des achats de fioul lourd,Prix moyen annuel du fioul lourd (en € / t),Quantités achetées de fioul domestique,Quantités consommées de fioul domestique,Valeur des achats de fioul domestique,Prix moyen annuel du fioul domestique (en € / l),Quantités achetées de gazole non routier,Quantités consommées de gazole non routier,Valeur des achats de gazole non routier,Prix moyen annuel du gazole non routier (en € / l),Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen annuel du bois (en € / t),Quantités achetées de vapeur,Valeur des achats de vapeur,Prix moyen annuel de la vapeur (en € / t),Quantités achetées d’hydrogène,Quantités consommées d’hydrogène,Quantités auto produites d’hydrogène,Valeur des achats d’hydrogène,Prix moyen annuel d’hydrogène (en €/t),Autoproduction consommée,Autoproduction vendue d’hydrogène,Achats d’électricité,Quantités consommées d’électricité,Autoproduction électricité,Valeur des achats d'électricité,Prix moyen annuel de l’électricité (en € / Mwh)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Île-de-France,981.4,13.6,13.2,5,366.2,5284.1,5284.1,363.7,68.8,24.1,24.1,0.7,27.2,1.8,1.8,1.4,807.5,1.6,1.7,s,s,0.1,0.1,0.1,1199.1,2494.4,2428.5,2.6,1.05,14749.3,15205.3,16.6,1.12,s,s,s,s,s,39.2,s,0,0,0,0.3,7378.3,0,0,s,4889.7,74.5,550.5,s
Centre-Val de Loire,739.6,48.4,51.3,12,247.8,4352.4,4374.1,311.3,71.5,7.6,29.4,0.8,103.7,37.4,38.8,8.2,219.2,8.3,8.4,s,s,s,s,s,s,s,s,5.5,s,5817.4,5836.2,7.5,1.29,16.5,118.7,1.2,70.4,s,s,s,0.1,0.1,0,1,18297,0,0,3336.1,3442,285.7,382.2,114.6
Bourgogne-Franche-Comté,1352.4,18.9,18.3,6.4,338.1,5393.7,5402,393.5,73,s,32.2,s,s,s,s,s,s,19,19,16.6,870.3,1.1,s,s,s,5216.2,5128.3,5.6,1.08,14323.1,14252.4,17.1,1.2,125.3,435.5,4,32.1,1793.7,184.3,102.8,s,19,s,24.7,s,s,0,5292.4,5760.6,729.1,698.6,132
Normandie,2524.6,s,s,s,s,14222.1,14233.6,1132.7,79.6,5.2,16.7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,9.5,s,99.1,169.1,s,s,3198.8,230.6,72.1,0.4,s,s,s,s,s,0,6805.1,6964.5,471.4,786.6,115.6
Hauts-de-France,5313.7,s,s,s,s,23664.8,23771.7,1549.2,65.5,62.3,s,1.4,23.2,183.8,s,s,s,s,s,79.2,s,s,s,s,s,11084.5,11194.9,s,s,23867.2,23468.3,26.8,1.12,154.2,164.5,s,s,2471.4,146.8,59.4,1.3,s,s,s,s,s,0,18959.4,21755.3,2862.5,1911.3,100.8
Grand Est,4362.2,760.4,751.4,288.6,379.6,27029,27221.7,2054.5,76,47.3,240,s,s,90.2,95.8,16.8,186.1,15.2,15.4,s,s,s,s,s,s,s,s,14,s,28510.4,28601,31.5,1.1,1299.7,1530.7,40.1,30.8,3728.2,183.3,49.2,s,s,s,s,s,s,0,14880.6,15461.7,1132.3,1660.1,111.6
