"REG_T4 : Autoproduction, achats et consommation d'électricité par usage en GWh selon la région",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Autoproduction d'origine thermique,Autoproduction d’origine non thermique,Autoproduction électricité,Autoproduction vendue,Autoproduction consommée,Achats d’électricité,Quantités consommées d’électricité,Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,Usages thermodynamiques hors chauffage des locaux (Prod. Froid),Usage éclairage,Usage mobilité sur site
,,,,,,,,,,,,,,
Île-de-France,74.4,0.1,74.5,s,s,s,4889.7,2241.9,647.3,s,647.3,1084.5,208.7,s
Centre-Val de Loire,284.6,1.1,285.7,179.8,105.9,3336.1,3442,1974.7,368.5,13.2,336.2,589.3,145.6,14.6
Bourgogne-Franche-Comté,727.8,1.3,729.1,260.8,468.2,5292.4,5760.6,2756.9,1080.5,s,314.3,709.5,s,s
Normandie,445.2,26.2,471.4,312,159.4,6805.1,6964.5,4975.6,457.6,40.4,312.3,888.1,265.5,25
Hauts-de-France,s,s,2862.5,66.6,2795.9,18959.4,21755.3,11907.4,1816.5,4055.7,1085.1,2235,615.4,40.1
Grand Est,1097.8,34.5,1132.3,551.2,581.1,14880.6,15461.7,11239.8,1390.8,190.3,676.1,1467.4,440.2,57.1
Pays de la Loire,s,s,65.9,22.9,43.1,6050.5,6093.6,3131.7,711.3,42.8,808.9,1008.2,370.3,20.3
Bretagne,s,s,86.4,s,s,s,4446.5,2437.8,355.6,s,389.9,1051.9,s,s
Nouvelle-Aquitaine,862.5,206.5,1069,693.5,375.5,7269.1,7644.6,4738.4,727,224.8,485.1,1113.6,333,22.8
Occitanie,280.2,73.6,353.8,s,s,s,4642.8,2349.9,541.9,716.3,377.8,513.1,131.5,12.2
Auvergne-Rhône-Alpes,229.3,48.4,277.6,61.1,216.5,17807.3,18023.8,8491.4,1839.8,3692.3,1011.8,2308.8,599.9,79.9
Provence-Alpes-Côte d'Azur,432.8,22,454.9,184.5,270.4,7487.8,7758.1,4537.7,201.1,1484.7,239.6,1146.9,141.5,6.7
Département d’Outre-Mer,11.3,1.6,12.9,9,3.8,531.2,535,366.2,17.3,0,14.3,115.5,20.1,1.6
France entière,6748.4,1127.6,7876,2636.8,5239.3,102178.9,107418.2,61149.2,10155.1,11206,6698.7,14231.7,3636.7,340.7
,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2022,,,,,,,,,,,,,,
"Note : la consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,
