,,Facture énergétique (en millions d'euros courants),Quantités achetées de combustibles minéraux solides,Quantités consommées de combustibles minéraux solides,Valeur des achats de combustibles minéraux solides,Prix moyen des combustibles minéraux solides,Quantités achetées de gaz,Quantités de gaz consommées,Valeur des achats de gaz,Prix moyen annuel du gaz de réseau (en € / Mwh),Quantités achetées de biogaz et biométhane,Quantités consommées de biogaz et biométhane,Valeur des achats de biogaz et biométhane,Prix moyen annuel du Biogaz et biométhane (en € /t),Quantités achetées de coke de pétrole,Quantités consommées de coke de pétrole,Valeur des achats de coke de pétrole,Prix moyen annuel du coke de pétrole (en € / t),Quantités achetées de butane-propane,Quantités consommées de butane-propane,Valeur des achats de butane-propane,Prix moyen annuel du butane-propane (en € / t),Quantités achetées de fioul lourd,Quantités consommées de fioul lourd,Valeur des achats de fioul lourd,Prix moyen annuel du fioul lourd (en € / t),Quantités achetées de fioul domestique,Quantités consommées de fioul domestique,Valeur des achats de fioul domestique,Prix moyen annuel du fioul domestique (en € / l),Quantités achetées de gazole non routier,Quantités consommées de gazole non routier,Valeur des achats de gazole non routier,Prix moyen annuel du gazole non routier (en € / l),Quantités achetées de bois,Quantités consommées de bois,Valeur des achats de bois,Prix moyen annuel du bois (en € / t),Quantités achetées de vapeur,Valeur des achats de vapeur,Prix moyen annuel de la vapeur (en € / t),Quantités achetées d’hydrogène,Quantités consommées d’hydrogène,Quantités auto produites d’hydrogène,Valeur des achats d’hydrogène,Prix moyen annuel d’hydrogène (en €/t),Autoproduction consommée,Autoproduction vendue d’hydrogène,Achats d’électricité,Quantités consommées d’électricité,Autoproduction électricité,Valeur des achats d'électricité,Prix moyen annuel de l’électricité (en € / Mwh)
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",226.6,0,0,0,nd,397,397,17,42.7,s,s,s,s,0,0,0,nd,0.6,0.6,0.5,901.2,0.3,0.2,0.3,882.4,122.9,144.1,0.2,1.31,80874.3,81059.3,91.6,1.13,s,s,s,s,s,s,s,0,0,0,0,nd,0,0,792.3,797.8,5.5,109,137.5
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",4330.9,161.4,159.7,38,235.8,32414.1,32692.5,1984.2,61.2,66,344.4,4.3,64.9,0,0,0,nd,71.1,70.8,60.1,846.4,3.5,3.5,3.2,918.5,25293.6,24413.2,27.7,1.09,17082,16623.6,20,1.17,406,406,27.2,67,3551.4,132,37.2,0.7,0.7,0,9.8,13148.3,0,0,19798.5,22863.4,3420.5,2028.7,102.5
13,Fabrication de textiles,169.1,0,0,0,nd,1022.9,1022.9,52.4,51.2,0,0,0,nd,0,0,0,nd,5.5,5.5,4.5,817,0,0,0,nd,s,s,1.5,s,1012.5,1015.2,s,s,0,0,0,nd,s,s,s,0,0,0,0,nd,0,0,s,934.4,4.3,106.4,s
14,Industrie de l'habillement,22.4,0,0,0,nd,272.4,272.4,11.3,41.5,0,0,0,nd,0,0,0,nd,0.2,0.2,0.2,958,0,0,0,nd,362.7,336.4,0.4,1.06,0,0,0,nd,0,0,0,nd,0,0,nd,0,0,0,0,nd,0,0,77.9,80,3.3,10.5,134.2
15,Industrie du cuir et de la chaussure,22.1,0,0,0,nd,116.2,116.2,5.5,47.6,0,0,0,nd,0,0,0,nd,0.5,0.5,0.4,894,0,s,0,nd,s,s,0.7,s,0,0,0,nd,0.7,0.7,0,68.8,1.5,0.1,83.3,0,0,0,0,nd,0,0,125.1,128.5,3.5,15.3,121.9
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",315.8,0,0,0,nd,596.2,596.2,40.7,68.3,0,0,0,nd,0,0,0,nd,4,4,3.6,890.5,0.2,0.2,0.2,740.4,2440.9,2485,2.4,0.99,14177,14017.1,16,1.13,461.3,1545.2,14.4,31.2,282.6,6.6,23.2,0,0,0,0,nd,0,0,2130,2393.4,402.8,232,108.9
17,Industrie du papier et du carton,1905.9,0,0,0,nd,9313.9,9490.9,761.7,81.8,s,181.2,s,s,0,0,0,nd,5.3,5.9,5,947.2,38.7,38.6,26,672.9,2932.5,3094,3,1.03,3396.2,3466.5,s,s,857.4,1162.7,27.1,31.6,5020.7,214.2,42.7,0,0,0,0,nd,0,0,7235.5,7524.7,1618.7,865.2,119.6
18,Imprimerie et reproduction d'enregistrements,132.1,0,0,0,nd,448.8,448.8,21.5,48,0,0,0,nd,0,0,0,nd,1.3,1.3,s,s,0,0,0,790.7,1170.8,s,1.3,1.15,8.2,7.5,0,1.12,s,s,s,s,s,s,s,0,0,0,0,nd,0,0,1031.9,1035.3,3.8,107.4,104
20,Industrie chimique,7120.1,494.4,487.5,161.6,326.8,32655.7,32680,2991.4,91.6,84.8,109.1,s,s,s,s,s,s,1424.4,1402.2,998.5,701,21.1,21.4,20.1,953.4,s,s,66.5,s,s,s,7.8,s,638.2,664.5,11.3,17.7,13775.2,1008.4,73.2,s,107.6,s,107.9,s,s,38,15596.9,16547.7,1517.8,1745,111.9
21,Industrie pharmaceutique,418.2,0,0,0,nd,2174.5,2174.5,97.3,44.7,58.7,58.7,2.6,44.5,0,0,0,nd,1,1,s,s,0.1,0.1,s,s,1220.1,1099.6,1.3,1.1,210.7,185.3,0.2,1.17,0,0,0,nd,s,58.4,s,s,s,0,s,s,0,0,2536.6,2542.3,5.8,260,102.5
