,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
Île-de-France,345.6,2.5,1,56.7,1.1,406.9,0.6,0,0.3,1.2,2.1,s,0.3,s,1,11.1,12.8,s,s,0,0,0,0.1
Centre-Val de Loire,250.7,0.2,41.6,43.8,0.5,336.8,s,0,0.4,3.4,s,s,s,s,0.5,2.9,4.9,0.1,0.1,0,0,0,0.2
Bourgogne-Franche-Comté,286.8,s,s,s,0.3,416,s,s,0,3.2,4.3,1.8,0.8,0.2,0.5,8.7,12,s,45.8,0,s,0,64
Normandie,724.3,307.3,7.5,56.9,0,1096,s,0,s,1.7,s,1,s,s,1,3.7,s,s,s,0,0,0,s
Hauts-de-France,1427.6,37.2,239.8,125.4,0.5,1830.4,5.5,0,0.5,3.4,9.5,2.9,0.1,0.4,1.2,15.2,19.8,17.5,s,0,0,0,s
Grand Est,1545.7,309.6,99.3,140.6,0.9,2096.1,s,s,s,3.8,s,5.2,s,s,2.1,15.4,24.2,s,s,0,0,0,s
Pays de la Loire,309,s,s,59.4,1.3,371.4,1.6,0,0.9,3.7,6.3,4.7,0,0.4,0.7,6.5,12.3,0.9,s,0,s,0,0.9
Bretagne,330,s,s,24.2,0,354.6,3,s,s,1.4,5,2.9,s,2.3,s,9.2,15.4,0,s,0,s,0,0
Nouvelle-Aquitaine,473.7,2.3,3.9,42.7,0.1,522.7,2.3,0,0.3,2,4.6,2.1,s,0.3,2.5,15.8,s,0.3,0,0,0,0,0.3
Occitanie,291.4,s,0,s,0,311.8,0.8,0,0.4,3.5,4.6,4.2,s,0.5,s,16.4,21.4,s,s,0,0,0,s
Auvergne-Rhône-Alpes,974.6,44.7,12.2,124.9,1.2,1157.6,2.9,0.1,0.4,8.2,11.5,2.3,0,0.1,1.7,11.4,15.4,2.3,5,0,0,0,7.3
Provence-Alpes-Côte d'Azur,536.4,s,22.5,s,0,655.1,s,s,0.9,0.6,s,3.3,0.6,0.2,0.5,7.7,12.2,s,79.5,0,s,0,110.4
Département d’Outre-Mer,4.9,0.2,1.7,1.4,0,8.1,8.4,0,0,1.7,10.1,5,s,0.1,s,3.8,9.7,s,s,0,s,0,s
France entière,7500.8,798.6,492.4,765.5,5.9,9563.3,95.6,1,6.4,37.7,140.7,36.2,4.1,6.3,13.7,127.7,188,211.1,151.8,0,14,0,376.9
