naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,169.1,0,0,0,0.0,1022.9,1022.9,52.4,51.2,0,0,0,0.0,0,0,0,0.0,5.5,5.5,4.5,817,0,0,0,0.0,,,1.5,,1012.5,1015.2,,,0,0,0,0.0,,,,0,0,0,0,0.0,0,0,,,4.3,106.4,
14,Industrie de l'habillement,22.4,0,0,0,0.0,272.4,272.4,11.3,41.5,0,0,0,0.0,0,0,0,0.0,0.2,0.2,0.2,958,0,0,0,0.0,362.7,336.4,0.4,1.06,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,77.9,,3.3,10.5,134.2
15,Industrie du cuir et de la chaussure,22.1,0,0,0,0.0,116.2,116.2,5.5,47.6,0,0,0,0.0,0,0,0,0.0,0.5,0.5,0.4,894,0,,0,0.0,,,0.7,,0,0,0,0.0,0.7,0.7,0,68.8,1.5,0.1,83.3,0,0,0,0,0.0,0,0,125.1,,3.5,15.3,121.9
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",315.8,0,0,0,0.0,596.2,596.2,40.7,68.3,0,0,0,0.0,0,0,0,0.0,4.0,4.0,3.6,890.5,0.2,0.2,0.2,740.4,2440.9,2485,2.4,0.99,14177,14017.1,16,1.13,461.3,1545.2,14.4,31.2,282.6,6.6,23.2,0,0,0,0,0.0,0,0,2130,,402.8,232.0,108.9
17,Industrie du papier et du carton,1905.9,0,0,0,0.0,9313.9,9490.9,761.7,81.8,,181.2,,,0,0,0,0.0,5.3,5.9,5,947.2,38.7,38.6,26,672.9,2932.5,3094,3.0,1.03,3396.2,3466.5,,,857.4,1162.7,27.1,31.6,5020.7,214.2,42.7,0,0,0,0,0.0,0,0,7235.5,,1618.7,865.2,119.6
18,Imprimerie et reproduction d'enregistrements,132.1,0,0,0,0.0,448.8,448.8,21.5,48,0,0,0,0.0,0,0,0,0.0,1.3,1.3,,,0,0,0,790.7,1170.8,,1.3,1.15,8.2,7.5,0,1.12,,,,,,,,0,0,0,0,0.0,0,0,1031.9,,3.8,107.4,104
20,Industrie chimique,7120.1,494.4,487.5,161.6,326.8,32655.7,32680,2991.4,91.6,84.8,109.1,,,,,,,1424.4,1402.2,998.5,701,21.1,21.4,20.1,953.4,,,66.5,,,,7.8,,638.2,664.5,11.3,17.7,13775.2,1008.4,73.2,,107.6,,107.9,,,38,15596.9,,1517.8,1745.0,111.9
21,Industrie pharmaceutique,418.2,0,0,0,0.0,2174.5,2174.5,97.3,44.7,58.7,58.7,2.6,44.5,0,0,0,0.0,1.0,1.0,,,0.1,0.1,,,1220.1,1099.6,1.3,1.1,210.7,185.3,0.2,1.17,0,0,0,0.0,,58.4,,,,0,,,0,0,2536.6,,5.8,260.0,102.5
22,Fabrication de produits en caoutchouc et en plastique,916.5,0,0,0,0.0,2067,2067,123.9,59.9,,,,,0,0,0,0.0,10.5,10.6,10.3,981.3,8.6,8.6,7.7,900.8,4764,4810.4,5.3,1.11,1125.2,1026.7,,,,,,,549.6,46.5,84.6,0,0,0,0,0.0,0,0,5908.3,,46.5,721.5,122.1
23,Fabrication d'autres produits minéraux non métalliques,2322.5,380.3,382.9,101.2,266.1,19558,19558,1053.1,53.8,,,,,618.6,628.3,,,12.1,12.1,10.3,856.9,58.6,58.3,36.5,622.7,14628.7,14745.2,14.8,1.01,32003.9,31711.3,35.5,1.11,349.2,357,12.7,36.5,130.7,4.3,33.2,0.4,0.4,0,5.1,14479.8,0,0,8211.1,,102.3,919.4,112
