naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,67.8,0,,9.9,,78.8,,0,0,0.7,,0.7,0,0,0,0.2,0.9,0,0,0,0,0,0
14,Industrie de l'habillement,7.8,0,0,13.2,0,21,0,0,0,0.3,0.3,0,0,0,0,0.0,0,0,0,0,0,0,0
15,Industrie du cuir et de la chaussure,5.2,0,0,3.7,0.1,8.9,,0,0,0.5,,0,0,0,0,0.0,0,0,0,0,0,0,0
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",,0,,2.7,0,45.9,0.4,0.1,0,1.6,2.1,1,,,1,9.9,11.8,0,0,0,0,0,0
17,Industrie du papier et du carton,648.3,0,57.1,25.0,0.4,730.8,0.8,0,0,1.8,2.6,0.4,0,,,2.3,2.9,0,0,0,0,0,0
18,Imprimerie et reproduction d'enregistrements,17.3,,0,17.2,,34.6,0,0,,0.6,,0,0,,,0.0,0,0,0,0,0,0,0
20,Industrie chimique,1644.1,721.6,106,44.6,0.1,2516.4,,,0.6,3,,1.5,0.8,,0.3,3.7,,199,149.4,0,14,0,362.4
21,Industrie pharmaceutique,142.6,,,24.9,,167.4,0.1,0,0.6,0.3,0.9,,,,,0.1,0.2,,,0,,0,
22,Fabrication de produits en caoutchouc et en plastique,123,0,,34.8,,159.2,,,0.3,3.5,4.1,0,0,0.3,0.2,0.4,0.9,0,0,0,0,0,0
23,Fabrication d'autres produits minéraux non métalliques,1435.5,17.5,0,52.6,0.4,1506,9.1,0,0.3,3.1,12.5,7.1,,,1.6,17.5,26.8,0.4,0.8,0,0,0,1.2
24,Métallurgie,792.3,53.2,0.6,53.0,0.1,899.3,,,,,10.2,0.4,0.4,0,1.2,7.6,9.6,5.8,0.4,0,0,0,6.2
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",153.5,,,79.3,0.1,233.1,0.2,0,0.4,,,0.2,,,0.4,2.1,2.8,0.9,0.4,0,0,0,1.3
26,"Fabrication de produits informatiques, électroniques et optiques",,,0,18.0,0,26.3,,,0.3,0.5,0.8,0,,,,0.0,0.2,,0,0,0,0,
27,Fabrication d'équipements électriques,35.1,,0,35.8,,71.1,,0,,1.3,1.7,,0,,0.1,0.9,,,,0,0,0,
28,Fabrication de machines et équipements n.c.a.,,,0,65.1,0,99.5,2.7,0,0,2.9,5.7,2,,,1.6,1.5,5.4,0,0.1,0,0,0,0.1
29,Industrie automobile,127.1,,2.9,83.5,,213.6,,,0.1,0.9,1.1,0.2,,,0.3,0.7,,0,,0,0,0,
30,Fabrication d'autres matériels de transport,25.6,,0.1,65.6,,96,,,1.1,0.4,1.6,,0,0.1,0,0.7,,,,0,0,0,2.1
31,Fabrication de meubles,7,0,0,9.4,0.1,16.5,0,0,0,1.9,2,0,0,0,0,0.0,0,,,0,,0,
32,Autres industries manufacturières,12.6,0,0,9.8,0,22.4,,0,,0.2,0.2,0,0,0.1,0,0.0,0.1,,,0,,0,
33,Réparation et installation de machines et d'équipements,2.3,,0.5,9.6,0,,1,0,0,,,0.6,0.2,1.9,0.6,6.3,9.7,,0,0,0,0,
38,"Collecte, traitement et élimination des déchets ; récupération",53.8,,,2.4,0.3,,,,0,0.5,,3.2,,0.3,1.2,17.8,,0,0,0,0,0,0
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",30.3,0,0,0.3,0,30.6,0,0,0,0.1,0.1,12.6,0,0.2,3,52.7,68.5,0,0,0,0,0,0
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2093.2,0.7,315.7,105.5,2.2,2517.3,13.1,0,1.8,5.7,20.6,5.3,1.5,2.3,2,2.9,14,2.5,0,0,0,0,2.5
_T,Total,7500.8,798.6,492.4,765.5,5.9,9563.3,95.6,1,6.4,37.7,140.7,36.2,4.1,6.3,13.7,127.7,188,211.1,151.8,0,14,0,376.9
