"GEO";"GEO_OBJECT";"NUMBER_EMPL";"ACTIVITY";"EACEI_MEASURE";"UNIT_MULT";"UNIT_MEASURE";"CONF_STATUS";"OBS_STATUS";"COMPARE_TIME";"TIME_PERIOD";"OBS_VALUE"
"F";"FRANCE";"_T";"33";"LR_USQ3";"3";"TOE";"F";"A";"_Z";2023;0
"27";"REG";"_T";"_T";"LR_USQ3";"3";"TOE";"C";"A";"_Z";2023;0.3
"F";"FRANCE";"_T";"38";"NR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"13";"AUTRE_CSTP";"3";"TOE";"C";"A";"_Z";2023;0
"F";"FRANCE";"_T";"24";"BIOR_PRIX";"0";"EUR_GWH";"F";"L";"_Z";2023;
"75";"REG";"_T";"_T";"BR_AUCO";"0";"GWH";"F";"A";"_Z";2023;274.1
"76";"REG";"_T";"_T";"BR_AUCO";"0";"GWH";"C";"A";"_Z";2023;166.9
"F";"FRANCE";"_T";"B07T09";"CUR_CSTP";"3";"TOE";"F";"A";"_Z";2023;99.4
"53";"REG";"_T";"_T";"BR_CONTRAT_FIN_1_PROP";"0";"PT";"F";"A";"_Z";2023;9.8
"84";"REG";"_T";"_T";"DR_CONTRAT_CHANG_1_PROP";"0";"PT";"F";"A";"_Z";2023;24.4
"DOM";"OTHER";"_T";"_T";"PR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"14";"BR_CONTRAT_FIN_2_PROP";"0";"PT";"F";"A";"_Z";2023;58.1
"F";"FRANCE";"_T";"16";"PR_USQ2";"3";"TOE";"F";"A";"_Z";2023;0
"24";"REG";"_T";"_T";"DR_CONTRAT_CONCERNE_PROP";"0";"PT";"F";"A";"_Z";2023;62.5
"27";"REG";"_T";"_T";"DR_CONTRAT_CONCERNE_PROP";"0";"PT";"F";"A";"_Z";2023;62.7
"28";"REG";"_T";"_T";"DR_CONTRAT_CONCERNE_PROP";"0";"PT";"F";"A";"_Z";2023;60.5
"24";"REG";"_T";"_T";"BR_CONTRAT_FIN_2_PROP";"0";"PT";"F";"A";"_Z";2023;53.3
"F";"FRANCE";"_T";"33";"BR_CONTRAT_FIN_5_PROP";"0";"PT";"F";"A";"_Z";2023;22.3
"F";"FRANCE";"_T";"27";"GAZR_CSTP";"3";"TOE";"F";"A";"_Z";2023;68.2
"F";"FRANCE";"_T";"30";"GAZR_CSTP";"3";"TOE";"F";"A";"_Z";2023;85.9
"11";"REG";"_T";"_T";"BR_USQ4";"3";"TOE";"F";"A";"_Z";2023;42.4
"F";"FRANCE";"_T";"_T";"GR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2006;81
"F";"FRANCE";"_T";"_T";"GR_PRIX";"0";"EUR_T";"F";"A";"1_2005";2007;79
"F";"FRANCE";"_T";"_T";"GR_PRIX";"0";"EUR_T";"C";"L";"1_2005";2021;
"32";"REG";"_T";"_T";"QR_CSTP";"3";"TOE";"C";"A";"_Z";2023;35.7
"DOM";"OTHER";"_T";"_T";"OR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0.3
"F";"FRANCE";"_T";"17";"PR_USQ9";"3";"TOE";"F";"A";"_Z";2023;0
"28";"REG";"_T";"_T";"QR_CSUP";"3";"L";"C";"A";"_Z";2023;8295.9
"F";"FRANCE";"_T";"_T";"LR_USQ3";"3";"TOE";"F";"A";"_Z";2023;14.4
"F";"FRANCE";"_T";"_T";"CMSR_QAUP";"3";"T";"F";"A";"_Z";2023;5816
"F";"FRANCE";"_T";"33";"JR_CSUP";"3";"T";"F";"A";"_Z";2023;4.1
"F";"FRANCE";"_T";"_T";"PR_PRIX";"0";"EUR_T";"F";"L";"0_2005";1996;
"84";"REG";"_T";"_T";"PR_VALA";"6";"EUR";"F";"A";"_Z";2023;18.4
"52";"REG";"_T";"_T";"CMSR_QAUP";"3";"T";"C";"A";"_Z";2023;16.3
"F";"FRANCE";"_T";"21";"BR_VALA";"6";"EUR";"F";"A";"_Z";2023;410.7
"F";"FRANCE";"_T";"31";"LR_CSUP";"3";"L";"F";"A";"_Z";2023;1002.9
"F";"FRANCE";"_T";"28";"LR_USQ2";"3";"TOE";"C";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"HR_PRIX";"0";"EUR_T";"F";"A";"0_2005";1999;98
"F";"FRANCE";"_T";"38";"QR_USQ2";"3";"TOE";"F";"A";"_Z";2023;0.6
"F";"FRANCE";"_T";"15";"KR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"21";"IR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"24";"PR_CSTP";"3";"TOE";"F";"A";"_Z";2023;8
"F";"FRANCE";"_T";"33";"OR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"31";"BR_THER";"0";"GWH";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"BIOR_PRIX";"0";"EUR_GWH";"F";"L";"1_2005";2010;
"F";"FRANCE";"_T";"_T";"BIOR_PRIX";"0";"EUR_GWH";"F";"L";"1_2005";2019;
"F";"FRANCE";"_T";"14";"CR_VALA";"6";"EUR";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"_T";"GR_PRIX";"0";"EUR_T";"F";"L";"0_2005";2003;
"F";"FRANCE";"_T";"17";"PR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"28";"IR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"17";"PR_QAUP";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"31";"KR_PRIX";"0";"EUR_T";"F";"L";"_Z";2023;
"F";"FRANCE";"_T";"26";"IR_VALA";"6";"EUR";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"14";"CAR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"22";"PR_PROD";"3";"T";"F";"A";"_Z";2023;0
"F";"FRANCE";"_T";"38";"KR_VALA";"6";"EUR";"C";"A";"_Z";2023;0.1
"F";"FRANCE";"_T";"_T";"HR_PRIX";"0";"EUR_T";"C";"L";"1_2005";2021;
"F";"FRANCE";"_T";"_T";"BIOR_PRIX";"0";"EUR_GWH";"F";"L";"1_2005";2008;
"F";"FRANCE";"_T";"38";"LR_QAUP";"3";"L";"F";"A";"_Z";2023;1020.2
"F";"FRANCE";"_T";"14";"OR_CSTP";"3";"TOE";"F";"A";"_Z";2023;0
