activity,unit_mult,unit_measure,time_period,geo,EACEI,obs_value
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",Unités,Gigawattheure,2023,France,"Consommation d’électricité",19614.60
Métallurgie,Unités,Gigawattheure,2023,France,"Consommation d’électricité",18174.90
"Industrie chimique",Unités,Gigawattheure,2023,France,"Consommation d’électricité",15728.20
"Fabrication d'autres produits minéraux non métalliques",Unités,Gigawattheure,2023,France,"Consommation d’électricité",7443.50
"Industrie du papier et du carton",Unités,Gigawattheure,2023,France,"Consommation d’électricité",6490.90
"Fabrication de produits en caoutchouc et en plastique",Unités,Gigawattheure,2023,France,"Consommation d’électricité",5123.20
"Fabrication de produits métalliques, à l'exception des machines et des équipements",Unités,Gigawattheure,2023,France,"Consommation d’électricité",4345.50
"Industrie automobile",Unités,Gigawattheure,2023,France,"Consommation d’électricité",3651.40
"Fabrication de produits informatiques, électroniques et optiques",Unités,Gigawattheure,2023,France,"Consommation d’électricité",2640.00
"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",Unités,Gigawattheure,2023,France,"Consommation d’électricité",2567.70
"Industrie pharmaceutique",Unités,Gigawattheure,2023,France,"Consommation d’électricité",2454.10
"Fabrication d'autres matériels de transport",Unités,Gigawattheure,2023,France,"Consommation d’électricité",1905.70
"Fabrication de machines et équipements n.c.a.",Unités,Gigawattheure,2023,France,"Consommation d’électricité",1658.40
"Fabrication d'équipements électriques",Unités,Gigawattheure,2023,France,"Consommation d’électricité",1465.70
"Fabrication de textiles",Unités,Gigawattheure,2023,France,"Consommation d’électricité",895.10
"Collecte, traitement et élimination des déchets ; récupération",Unités,Gigawattheure,2023,France,"Consommation d’électricité",759.30
"Imprimerie et reproduction d'enregistrements",Unités,Gigawattheure,2023,France,"Consommation d’électricité",681.00
"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",Unités,Gigawattheure,2023,France,"Consommation d’électricité",631.00
"Autres industries manufacturières",Unités,Gigawattheure,2023,France,"Consommation d’électricité",560.20
"Réparation et installation de machines et d'équipements",Unités,Gigawattheure,2023,France,"Consommation d’électricité",508.80
"Fabrication de meubles",Unités,Gigawattheure,2023,France,"Consommation d’électricité",343.40
"Industrie du cuir et de la chaussure",Unités,Gigawattheure,2023,France,"Consommation d’électricité",105.80
"Industrie de l'habillement",Unités,Gigawattheure,2023,France,"Consommation d’électricité",80.30
