activity,unit_mult,unit_measure,time_period,geo,EACEI,obs_value
"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",Millions,Euros,2023,France,"Facture énergétique",5825.10
"Industrie chimique",Millions,Euros,2023,France,"Facture énergétique",4781.80
Métallurgie,Millions,Euros,2023,France,"Facture énergétique",3921.50
"Fabrication d'autres produits minéraux non métalliques",Millions,Euros,2023,France,"Facture énergétique",2218.60
"Industrie du papier et du carton",Millions,Euros,2023,France,"Facture énergétique",1357.00
"Fabrication de produits métalliques, à l'exception des machines et des équipements",Millions,Euros,2023,France,"Facture énergétique",1135.10
"Fabrication de produits en caoutchouc et en plastique",Millions,Euros,2023,France,"Facture énergétique",1055.00
"Industrie automobile",Millions,Euros,2023,France,"Facture énergétique",836.50
"Industrie pharmaceutique",Millions,Euros,2023,France,"Facture énergétique",625.90
"Fabrication d'autres matériels de transport",Millions,Euros,2023,France,"Facture énergétique",528.60
"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",Millions,Euros,2023,France,"Facture énergétique",520.20
"Fabrication de machines et équipements n.c.a.",Millions,Euros,2023,France,"Facture énergétique",500.00
"Fabrication de produits informatiques, électroniques et optiques",Millions,Euros,2023,France,"Facture énergétique",442.00
"Fabrication d'équipements électriques",Millions,Euros,2023,France,"Facture énergétique",435.00
"Fabrication de textiles",Millions,Euros,2023,France,"Facture énergétique",247.00
"Collecte, traitement et élimination des déchets ; récupération",Millions,Euros,2023,France,"Facture énergétique",246.40
"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",Millions,Euros,2023,France,"Facture énergétique",227.10
"Imprimerie et reproduction d'enregistrements",Millions,Euros,2023,France,"Facture énergétique",164.90
"Réparation et installation de machines et d'équipements",Millions,Euros,2023,France,"Facture énergétique",153.00
"Autres industries manufacturières",Millions,Euros,2023,France,"Facture énergétique",141.30
"Fabrication de meubles",Millions,Euros,2023,France,"Facture énergétique",100.30
"Industrie du cuir et de la chaussure",Millions,Euros,2023,France,"Facture énergétique",37.10
"Industrie de l'habillement",Millions,Euros,2023,France,"Facture énergétique",32.30
