code,label
13,Fabrication de textiles
14,Industrie de l'habillement
15,Industrie du cuir et de la chaussure
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
17,Industrie du papier et du carton
18,Imprimerie et reproduction d'enregistrements
20,Industrie chimique
21,Industrie pharmaceutique
22,Fabrication de produits en caoutchouc et en plastique
23,Fabrication d'autres produits minéraux non métalliques
24,Métallurgie
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements"
26,"Fabrication de produits informatiques, électroniques et optiques"
27,Fabrication d'équipements électriques
28,Fabrication de machines et équipements n.c.a.
29,Industrie automobile
30,Fabrication d'autres matériels de transport
31,Fabrication de meubles
32,Autres industries manufacturières
33,Réparation et installation de machines et d'équipements
38,"Collecte, traitement et élimination des déchets ; récupération"
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)"
B07T09_E383,Industries extractives ; récupération
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
C13T15,"Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure"
C16T18,"Travail du bois, industries du papier et imprimerie"
C22_23,Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques
C24_25,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements
C26T28,"Fabrication de produits informatiques, électroniques et optiques, d'équipements électriques, et de machines et équipements n.c.a."
C29_30,Fabrication de matériels de transport
C31T33,Autres industries manufacturières ; réparation et installation de machines et d'équipements
_T,Total
