SL_T1 : Chiffres clés relatifs à la consommation d'énergie dans l'industrie (y compris IAA) après la rupture de série de 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Consommation,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Consommation brute (en millions de TEP),44,42.9,42.5,42.6,36.5,37.6,36.4,36,35.6,35.4,35.8,36.5,35.5,35.7,35.3,32.2,34.6,32,29.7
Consommation nette (en millions de TEP),41.5,40.7,40.5,40.7,34.6,35.7,34.8,34.4,34.3,34.2,34.6,35.5,34.5,34.6,34.4,31.4,33.5,31,28.6
Facture énergétique (en millions d'euros courants),12769,14309,14446,16260,13284,14538,15594,16110,15894,15175,14304,13116,13279,14535,13774,11728,17134.9,25998,25531.6
,,,,,,,,,,,,,,,,,,,
Décomposition par énergie (en %),,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Électricité consommée hors utilisation en tant que matière première,34,34,34,34,34,34,34,33,33,34,34,34,35,35,35,33,35,36.3,35.6
Combustibles minéraux solides consommés hors utilisation en tant que matière première,5,5,5,5,5,5,7,7,6,6,8,7,6,6,6,3,3,2.5,2.5
Gaz de réseau consommé hors utilisation en tant que matière première,34,34,34,33,33,34,34,35,36,35,34,34,34,34,35,37,35,34.4,33.6
Produits pétroliers consommés hors utilisation en tant que matière première,10,10,9,8,8,8,8,7,6,6,5,5,5,4,4,5,5,5.1,5.5
Vapeur consommée hors utilisation en tant que matière première,6,5,5,6,6,6,5,6,6,6,6,6,7,7,7,7,7,7.3,7.4
Autres énergies consommées hors utilisation en tant que matière première,12,12,12,15,14,13,13,13,12,13,13,14,14,14,14,15,14,14.4,15.4
,,,,,,,,,,,,,,,,,,,
Prix moyens,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Prix moyen annuel de l’électricité (en €/MWh),45,51,51,53,56,57,61,63,65,66,66,60,58,60,63,64,77.6,109.9,144.1
Prix moyen annuel de la vapeur (en €/t),18,22,22,28,23,23,27,29,29,27,24,22,22,25,22,20,33.5,59.2,46.8
Prix moyen annuel du gaz de réseau (en €/MWh),21,26,27,32,28,27,29,31,32,30,29,25,24,26,25,21,34.8,71,62.7
Prix moyen annuel du biogaz et biométhane (en €/t),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,44.4,57,63.7
Prix moyen annuel de la houille (en €/t),90,91,88,96,95,143,180,171,130,115,111,111,164,158,154,140,s,s,s
Prix moyen annuel de la lignite (en €/t),89,81,79,118,98,111,154,118,122,110,105,108,s,s,s,s,s,s,s
Prix moyen annuel du coke de houille (en €/t),227,190,204,242,206,284,359,322,268,228,233,199,s,s,s,s,s,s,s
Prix moyen annuel du coke de pétrole (en €/t),88,99,109,149,131,150,189,165,143,130,143,115,132,192,168,136,184.6,322.8,296.1
Prix moyen annuel du butane-propane (en €/t),403,446,475,562,404,515,672,730,655,591,391,362,426,509,414,339,519.3,720.4,574.7
Prix moyen annuel du fioul lourd (en €/t),238,284,295,386,303,380,484,566,508,480,343,297,423,455,482,457,656.6,727,585.1
Prix moyen annuel du fioul domestique (en €/l),0.4,0.5,0.5,0.6,0.5,0.7,0.7,0.8,0.8,0.7,0.6,0.5,0.6,0.7,0.8,0.6,0.72,0.99,1
Prix moyen annuel du gazole non routier (en €/l),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,0.73,1.13,1.07
Prix moyen annuel du bois (en €/t),nd,nd,nd,nd,nd,nd,nd,37,40,43,48,42,41,42,42,45,49.2,34.6,56.1
Prix moyen annuel d’hydrogène (en €/t),nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,2890.3,4991.8,4157.2
,,,,,,,,,,,,,,,,,,,
Notes : ,,,,,,,,,,,,,,,,,,,
"Depuis 2019, la consommation d’énergie inclut l’hydrogène. La base de sondage a été élargie en 2013 entraînant une rupture de série (la nouvelle base de sondage comprend plus d’unités ce qui a un impact à la hausse sur les résultats). Néanmoins, les données sur la période 2005-2013 ont été estimées pour être comparable aux années postérieures.",,,,,,,,,,,,,,,,,,,
"La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,
nd : non disponible,,,,,,,,,,,,,,,,,,,
s : secret statistique,,,,,,,,,,,,,,,,,,,
"Champ : après la rupture de série (2005) : France, industrie y compris industrie agroalimentaire (hors artisanat commercial), hors industrie de l'énergie, établissements de 20 salariés ou plus",,,,,,,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2023,,,,,,,,,,,,,,,,,,,
