TEFF_T5 : Contrats d’électricité et de gaz selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Unité : en %,,,,,,,,,,,
,,,,,,,,,,,
,Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2023,Proportion d’établissements avec un contrat d’électricité au tarif réglementé,Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros,Proportion d’établissements avec un autre type de contrat d’électricité,Proportion d’établissements qui consomment du gaz,Proportion d’établissements ayant renouvelé leur contrat de gaz en 2023,Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle,Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros,Proportion d’établissements avec un autre type de contrat de gaz
,,,,,,,,,,,
20 à 49 salariés,25.8,19.6,51,8.1,9.3,12,42.3,18.3,78.7,17.6,3.7
50 à 99 salariés,30.5,11,53.4,7.7,12.3,15.7,59,24.3,75.4,16.2,8.4
100 à 249 salariés,29,10,46.7,6.1,18.7,18.4,72.4,27,61.6,26.4,12.1
250 à 499 salariés,26.5,8.1,39.2,4.2,26.4,22.2,83.9,23.8,54,31.7,14.3
500 salariés et plus,28.8,6.7,43.3,6.8,23.8,19.5,80.4,29.9,50.7,32.3,17
Total,27.4,15.3,49.9,7.5,12.8,14.6,54,22.6,70.7,21.2,8.1
,,,,,,,,,,,
Notes : ,,,,,,,,,,,
"La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,
s : secret statistique,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2023,,,,,,,,,,,
