REG_T5 :  Contrats d’électricité et de gaz selon la région,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
Unité : en %,,,,,,,,,,,
,,,,,,,,,,,
,Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2023,Proportion d’établissements avec un contrat d’électricité au tarif réglementé,Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros,Proportion d’établissements avec un autre type de contrat d’électricité,Proportion d’établissements qui consomment du gaz,Proportion d’établissements ayant renouvelé leur contrat de gaz en 2023,Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle,Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros,Proportion d’établissements avec un autre type de contrat de gaz
,,,,,,,,,,,
Île-de-France,24.9,24.4,44.7,6,11.2,13.7,52.7,22.8,70.7,23.4,5.9
Centre-Val de Loire,32.8,10.9,53.3,10.1,11.1,14.7,62.5,22.3,76.2,16.9,7
Bourgogne-Franche-Comté,32.2,10.8,58.4,5.6,10,15.1,62.7,22.2,76.1,16.7,7.2
Normandie,25.7,8.7,55.6,8.9,14,12.8,60.5,23.4,70.8,20.5,8.6
Hauts-de-France,27.4,15.5,45.1,4.3,13.6,21.4,68.7,22.4,66,23.8,10.2
Grand Est,22.4,10.8,51.3,5.5,16.7,15.7,65.3,22.2,66,27.8,6.2
Pays de la Loire,28.7,11.7,51,7.2,17.1,12.9,53.2,20.5,75.4,14.9,9.7
Bretagne,29.7,9.8,55,9.1,10.9,15.2,53.6,21,63.3,28.1,8.6
Nouvelle-Aquitaine,32.8,12.1,53.1,7.7,13.2,13.8,41.3,21.6,65.6,24.7,9.7
Occitanie,28.7,19.5,44.8,8.1,11.5,16,39.9,22,69,22.1,8.9
Auvergne-Rhône-Alpes,25.7,16.1,50,9,13.2,11.7,55.6,24.4,76,16.3,7.7
Provence-Alpes-Côte d'Azur,29.4,17.2,47.2,10.4,7.6,17.6,31.9,26.9,69.7,20.9,9.4
Départements d'Outre-mer,0.6,86.3,4.8,5.1,0,3.8,2.6,0,20.8,79.2,0
France,27.4,15.3,49.9,7.5,12.8,14.6,54,22.6,70.7,21.2,8.1
,,,,,,,,,,,
Notes : ,,,,,,,,,,,
"La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,
s : secret statistique,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2023,,,,,,,,,,,
