NAF_T5 : Contrats d’électricité et de gaz selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Unité : en %,,,,,,,,,,,,
,,,,,,,,,,,,
,,Proportion d’établissements ayant renouvelé leur contrat d’électricité en 2023,Proportion d’établissements avec un contrat d’électricité au tarif réglementé,Proportion d’établissements avec un contrat d’électricité à prix fixe sur une durée contractuelle,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le tarif réglementé,Proportion d’établissements avec un contrat d’électricité dont le prix indexé sur le prix de gros,Proportion d’établissements avec un autre type de contrat d’électricité,Proportion d’établissements qui consomment du gaz,Proportion d’établissements ayant renouvelé leur contrat de gaz en 2023,Proportion d’établissements avec un contrat de gaz à prix fixe sur une durée contractuelle,Proportion d’établissements avec un contrat de gaz dont le prix indexé sur le prix de gros,Proportion d’établissements avec un autre type de contrat de gaz
,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",19.9,17.5,28.1,9.2,13.5,31.7,13.8,27.6,40.3,52.7,7
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",29.9,12.7,49.9,5.6,15.1,16.8,62.4,25,64.9,23,12.1
13,Fabrication de textiles,36,13.1,64,5.3,11.5,6.1,56.8,25.5,75.5,22.1,2.4
14,Industrie de l'habillement,23.7,22.5,58.1,3.4,10.5,5.4,58.2,13.3,88.5,11.5,0
15,Industrie du cuir et de la chaussure,23.6,18.8,34.7,5.8,13.1,27.6,46.6,6.2,58.9,22,19
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",30.7,9.5,55.8,6.3,10.3,18.1,20.4,13.3,73.6,17.4,8.9
17,Industrie du papier et du carton,32.8,8.9,48.7,4,20.2,18.3,67,21.6,49.8,39.1,11.2
18,Imprimerie et reproduction d'enregistrements,33.2,12.7,63.5,5,7.1,11.8,50.5,24.1,72.8,24.5,2.8
20,Industrie chimique,27.9,13,46,7.3,18.6,15.1,66.1,28.3,55.3,33.2,11.5
21,Industrie pharmaceutique,30.9,8.8,41.1,6.3,22.9,20.9,72,21.7,59.1,23.6,17.2
22,Fabrication de produits en caoutchouc et en plastique,24.5,7.8,54.2,9.8,12.2,16,53.8,24.3,74.9,16.3,8.8
23,Fabrication d'autres produits minéraux non métalliques,26.6,11.6,40.9,5.5,25.8,16.3,49.5,16.5,52.1,34.6,13.4
24,Métallurgie,32.6,9.8,45.8,6.1,19.1,19.2,76.1,24.7,56.6,32.3,11.1
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",28.2,17.7,55.3,7.4,10.2,9.4,58.3,19.7,79.3,17.4,3.3
26,"Fabrication de produits informatiques, électroniques et optiques",28,17.3,63.3,4.4,7.6,7.5,31.4,29.5,80.9,11.9,7.1
27,Fabrication d'équipements électriques,18.6,18,48.6,10.7,12.8,9.9,63.2,16.8,67.2,17.4,15.4
28,Fabrication de machines et équipements n.c.a.,25.1,16.1,55.6,8.3,7,13.2,54.7,24,88.7,8.9,2.5
29,Industrie automobile,28.7,10.5,47.1,8.2,20.3,13.9,76,19.3,63.6,26.9,9.5
30,Fabrication d'autres matériels de transport,33.2,15.5,50.7,4.2,11.8,17.8,71.6,24.5,61.1,23.4,15.5
31,Fabrication de meubles,29.1,12.4,57,9.4,11,10.2,59.7,37.4,88.2,5.4,6.4
32,Autres industries manufacturières,30,28.1,42.6,10.6,7.8,10.9,47.5,23.5,81.8,18.2,0
33,Réparation et installation de machines et d'équipements,16.6,30.3,28.2,13.8,5.5,22.3,31.1,21,87.8,10.4,1.8
38,"Collecte, traitement et élimination des déchets ; récupération",29.4,12.8,39.9,8.9,20.6,17.7,23.4,20.2,45.1,46.3,8.6
_T,Total,27.4,15.3,49.9,7.5,12.8,14.6,54,22.6,70.7,21.2,8.1
,,,,,,,,,,,,
Notes : ,,,,,,,,,,,,
"La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,
s : secret statistique,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2023,,,,,,,,,,,,
