NAF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon le secteur d'activité en NAF rév.2 de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Consommation de gaz naturel et autres gaz,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Consommation de fioul domestique,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Consommation de gazole non routier,Quantités d’hydrogène consommées en tant que matières premières,"Quantités d’hydrogène utilisées pour la combustion, hors production d’électricité ",Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Consommation d’hydrogène
,,,,,,,,,,,,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",s,0,0,0.2,0,s,0.4,0,0,0,0.4,5.9,0,1.4,3.2,54.6,65.1,0,0,0,0,0,0
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1843.5,0.5,276.2,68.5,3.8,2192.4,13.2,0,5.2,4.7,23.2,8.2,1.5,0.5,2.1,5.8,18,9.3,0,0,0,0,9.3
13,Fabrication de textiles,77.7,0,s,9.7,s,88.1,0,s,s,1,1.5,0.9,0,0,0.2,0.5,1.6,s,s,s,s,s,s
14,Industrie de l'habillement,5,s,s,8.3,0.4,13.6,0.2,0,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0
15,Industrie du cuir et de la chaussure,3.5,0,0,2.8,0,6.4,0.4,0,0,0.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",33.7,0,s,s,0,43.9,s,0,s,1.8,2.8,1.5,0,s,s,18.5,21.5,0,0,0,0,0,0
17,Industrie du papier et du carton,549.6,0,34.4,30,0,613.9,2.7,s,s,s,4.2,0.3,0,s,s,2.5,3,0,0,0,0,0,0
18,Imprimerie et reproduction d'enregistrements,14.4,s,0,s,0,s,s,s,0.5,0.4,0.9,0,0,0,0,0,0,0,0,0,0,0,0
