TEFF_T3 : Répartition de la consommation de combustibles par usage en milliers de tonnes-équivalent-pétrole (kTEP) selon la tranche d'effectif de l'établissement,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Consommation de gaz naturel et autres gaz,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Consommation de fioul domestique,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Consommation de gazole non routier,Quantités d’hydrogène consommées en tant que matières premières,"Quantités d’hydrogène utilisées pour la combustion, hors production d’électricité ",Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Consommation d’hydrogène
,,,,,,,,,,,,,,,,,,,,,,,
20 à 49 salariés,386.6,6.4,s,64.1,s,464.4,10.6,s,3.5,11.2,s,12,0.6,2.2,3.7,76.9,95.4,2.8,s,0,0.1,0,s
50 à 99 salariés,727.8,35,s,77.3,s,844.1,8.2,s,s,5.5,s,3.3,0.9,0.6,3,24.2,32.1,s,s,s,0,0,s
100 à 249 salariés,2268.7,319.4,s,201.8,s,2875,9.5,0,1.9,7,18.4,6.9,s,s,3.8,25.5,36.7,30.9,6.5,0,s,0,s
250 à 499 salariés,1849,298.9,98.8,120.6,1,2368.3,s,s,s,5.9,10.9,1.1,s,s,1.8,8.1,11.6,239.5,42.4,0,0,0,281.8
500 salariés et plus,1732.1,31.4,202.1,186,1.4,2153.1,s,s,s,3.7,19.1,4.5,2.2,0.8,0.9,9.3,17.7,s,85.8,0,s,s,142.6
Total,6964.1,691.2,384.7,649.8,15,8704.8,36.2,5.1,14.4,33.3,89,27.9,4,4.4,13.1,143.9,193.4,328.5,138.3,s,10.2,s,477
,,,,,,,,,,,,,,,,,,,,,,,
Notes : ,,,,,,,,,,,,,,,,,,,,,,,
"La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,,,,,,,,,,
s : secret statistique,,,,,,,,,,,,,,,,,,,,,,,
nd : non disponible,,,,,,,,,,,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2023,,,,,,,,,,,,,,,,,,,,,,,
