"TEFF_T4 : Autoproduction, achats et consommation d'électricité par usage en GWh selon la tranche d'effectif de l'établissement",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,Consommation d’électricité,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
,,,,,,,,,,,,,,
20 à 49 salariés,307.8,80.5,388.3,98.9,281.1,10701.7,10982.8,5612.3,912.5,231.9,990.4,2472.7,651.6,111.3
50 à 99 salariés,184.6,44.5,229.1,93.2,135.9,11430.2,11566.2,6400.2,1627.6,144.3,638.5,2233.1,461.2,61.2
100 à 249 salariés,1123.2,143,1266.2,426.5,839.7,23339.8,24179.5,14571,2846.7,1086.3,1317.9,3438.1,815.9,103.6
250 à 499 salariés,1803.5,17.1,1820.6,883,937.6,21268.2,22205.9,12632.6,2875,2307.8,1006.9,2775.9,550.5,57.1
500 salariés et plus,1526.8,79.6,1606.4,435.3,1173.7,27720.6,28894.4,15399.5,2340,6165.5,1636.4,2577.2,691.7,84
Total,4945.8,364.8,5310.6,1936.9,3368,94460.6,97828.7,54615.7,10601.8,9935.8,5590.2,13497.1,3170.8,417.2
,,,,,,,,,,,,,,
"Note : La consommation d'énergie peut différer de la quantité achetée dans le cas d'énergies stockables (fioul par exemple), ou dans le cas de l'électricité (autoproduction consommée) et du bois (une partie non achetée).",,,,,,,,,,,,,,
"Champ : France, établissements de 20 salariés ou plus appartenant à l'industrie, hors industrie de l'énergie et hors artisanat commercial, y compris récupération.",,,,,,,,,,,,,,
Source : Enquête sur les consommations d'énergie dans l'industrie 2023,,,,,,,,,,,,,,
