,,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",227.1,0,0,0,nd,s,s,12.7,s,s,s,s,s,0,0,0,nd,4,3.9,3.6,903.9,s,s,s,s,451.9,479.2,0.5,1.18,77253.7,77023.8,82.5,1.07,s,s,s,s,s,s,s,0,0,0,0,nd,0,0,615.3,631,15.7,118.7,192.9
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",5825.1,63.7,65.9,21.4,336,28375.1,28472.9,2204.6,77.7,39.7,137.6,2.7,68.1,0,0,0,nd,92.5,92.2,76.8,830.2,5.1,5.2,4.2,819.1,27627.1,27420.3,28.9,1.04,21217.4,21247.2,21,0.99,695.5,769.6,50.8,73,3536.3,148.3,41.9,2.8,2.8,0,21.2,7706.1,0,0,s,19614.6,1637.9,3248,s
13,Fabrication de textiles,247,0,0,0,nd,1144.1,1144.1,69.6,60.8,0,0,0,nd,0,0,0,nd,5.1,5,4,790.5,0,0,0,nd,1760.1,1756.4,1.9,1.07,1989,1887.2,s,s,s,s,0,s,s,s,s,s,s,0,s,s,0,0,886,s,10.2,166.5,187.9
14,Industrie de l'habillement,32.3,0,0,0,nd,176.5,176.5,13.7,77.8,s,s,s,s,0,0,0,nd,0,0,s,s,0,0,0,nd,744.7,771.7,0.8,1.03,0,0,0,nd,0,0,0,nd,0,0,nd,0,0,0,0,nd,0,0,78.1,80.3,3.6,17.7,227.1
15,Industrie du cuir et de la chaussure,37.1,0,0,0,nd,82.8,82.8,7,85,3.4,3.4,0.5,131.9,0,0,0,nd,0.8,0.9,0.5,586.2,0,s,0,nd,841.5,846.9,s,s,0,0,0,nd,0.5,s,0,101.5,s,s,s,0,0,0,0,nd,0,0,99.6,s,6.2,28.5,286.3
16,"Travail du bois et fabrication d'articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",520.2,0,0,0,nd,569.9,569.9,41.1,72.1,0,0,0,nd,0,0,0,nd,s,s,5.8,s,1.7,1.5,1.5,900.1,3312.4,3274.9,3.4,1.03,25443.7,25464.7,28.3,1.11,388.5,1324.3,18.1,46.5,s,6.6,s,0,0,0,0,nd,0,0,2347.2,2567.7,388.4,415.3,176.9
17,Industrie du papier et du carton,1357,0,0,0,nd,7781.2,7972.5,451.5,58,s,198.1,0.1,s,0,0,0,nd,7.3,6.9,6.8,925.8,41,41.2,26.5,647.3,4967.1,4967.3,5.2,1.05,3591.4,3559.8,3.8,1.05,886,1229.7,36.9,41.6,4495.1,161.8,36,0,0,0,0,nd,0,0,6082.1,6490.9,1312.2,664.5,109.3
18,Imprimerie et reproduction d'enregistrements,164.9,0,0,0,nd,s,s,20.6,s,0,0,0,nd,0,0,0,nd,0.9,0.9,0.8,901.2,s,s,s,s,1047.2,1101.3,1.1,1.01,4.2,4.2,0,1.02,s,s,s,s,0,0,nd,0,0,0,0,nd,0,0,678.1,681,3.9,142.4,210.1
20,Industrie chimique,4781.8,444.8,466.5,108.8,244.5,31778,31980.2,1543,48.6,514.8,717,27.3,53.1,s,s,s,s,1522.7,1543.4,819.4,538.1,s,s,s,s,10801.3,11312.4,10.4,0.96,5417,5480,6,1.1,272.1,329.4,13,47.8,13471.5,688.3,51.1,27.2,134.9,143.6,89,3273.8,107.7,35.9,14995.5,15728.2,1150,1497,99.8
21,Industrie pharmaceutique,625.9,0,0,0,nd,1929.1,1929.1,156.4,81.1,100.5,100.5,8.8,87.9,0,0,0,nd,s,s,s,s,s,s,s,s,817.3,984.2,0.9,1.06,204.6,217.8,0.3,1.47,0,0,0,nd,972,56.5,58.1,s,s,0,s,s,0,0,2439.5,2454.1,14.7,410.7,168.4
