,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
Île-de-France,972,10.6,10.9,4.9,464.7,3681.5,3685.1,269.3,73.2,22,25.5,1,47.5,1.4,1.4,1.1,802.1,2.2,2.1,2,906.9,9.9,10.1,4,407.1,1220.6,1199.5,1.3,1.07,8936.3,8963.3,9.9,1.11,s,s,s,s,177.9,6.8,38.2,s,s,0,s,s,0,0,s,3903,31.6,671.9,s
Centre-Val de Loire,844.3,43.9,43.4,13.4,305.2,3880.5,3901.5,256.9,66.2,20.3,41.2,s,s,30.5,29,6.9,225,s,s,4.5,s,s,s,s,s,4491.2,4398.5,5.3,1.18,9240.5,9254.9,9.9,1.08,14.9,s,1.2,79.6,145.5,s,s,0.3,0.3,0,1.7,6648.6,0,0,3037.7,3177.7,251.4,537.1,176.8
Bourgogne-Franche-Comté,1252.4,10.4,11.1,4.9,466.7,5705.2,5710.4,373.7,65.5,23,28.2,4.6,198.6,s,s,s,s,16.3,16.3,13.9,852.3,s,s,6.3,s,8231.7,8451.6,7.8,0.94,11561.9,11415.4,12.6,1.09,69.2,s,s,s,s,64.9,s,s,15,s,17.1,s,s,0,s,5319.3,567.4,746.6,s
Normandie,2316.7,s,s,s,s,s,s,797.5,s,s,8,0.1,s,s,s,s,s,s,s,s,s,27.9,27.8,s,s,4762.4,4784.4,s,s,s,s,8.7,s,108.3,171.5,s,s,3022,157.8,52.2,1,s,s,3.3,3391.7,s,0,6751.1,6902.5,277.6,979.5,145.1
Hauts-de-France,5045.8,s,s,s,s,21063.3,21103.4,1532.2,72.7,56.6,96.7,5.3,94.1,143.5,157.4,52.3,364.4,s,s,s,s,s,s,18.3,s,10295.3,10338.1,s,s,s,s,45.8,s,217.2,293.8,s,s,2508.9,128.2,51.1,3.4,s,s,28.5,8349.1,s,0,18147,19231.1,1176.5,2225.4,122.6
Grand Est,3697.5,626.5,655.4,180.7,288.4,22513.7,22667.8,1249.9,55.5,s,204.1,s,s,77.9,76.3,17.3,222.1,18.1,18,16.5,911.6,s,s,s,s,s,s,13.1,s,27451.1,27404.1,30.1,1.1,1145.9,1408.5,75.9,66.2,3399.4,147.9,43.5,9.3,s,s,51.4,5495.2,s,0,13676.8,14229.1,1105.4,1914.2,140
Pays de la Loire,1461.7,s,16.3,s,s,4341.3,4345.2,337.8,77.8,37.1,41,1.9,52.1,s,s,s,s,s,s,s,s,4,4,3.4,867.4,6047.3,6058.2,6,0.99,13708.6,13732.9,15.8,1.15,151.6,208.6,8.5,55.8,698,27.3,39.1,s,s,0,s,s,0,0,5237.8,5288.9,75.1,1028.2,196.3
Bretagne,1271.6,0,0,0,nd,4348.8,4348.8,341,78.4,s,s,0.6,s,0,0,0,nd,27.8,27.5,22.3,801.4,s,s,s,s,s,s,6.7,s,11988.1,12109.2,12.4,1.03,103.4,112,0.6,6.2,655.9,30.5,46.5,0,0,0,s,s,0,0,4234.2,4275.1,43.2,856.5,202.3
Nouvelle-Aquitaine,1752.8,74.1,72.6,28.8,389.2,6267.4,6314.6,399.6,63.8,48.2,95.3,1.8,36.5,s,s,6.3,s,39.7,39.4,33.6,845.6,35.8,35.8,24.4,679.7,s,s,8.3,s,28880.3,28877.1,30.4,1.05,440.1,959.7,20,45.5,3982.7,155.4,39,0.1,0.1,0,0.9,13013.8,0,0,7175.6,7449.7,766.1,1045.1,145.6
Occitanie,1034.9,104.2,105.2,35.8,343.5,s,s,271.1,s,s,s,s,s,s,s,9.3,s,13.8,13.8,9.4,682.9,5.7,6,4.3,755.5,3012.2,3194.1,s,s,22637.5,22575,24.3,1.08,232.6,935.3,14.1,60.4,537.1,39.2,73,0,0,0,0,12900.8,0,0,s,4208.4,383.8,624.2,s
