naf_code,naf_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
13,Fabrication de textiles,6,2,8.0,,3,1124,1127,,,,,,,
14,Industrie de l'habillement,,2,2.0,0,,110,,,,,,,,
15,Industrie du cuir et de la chaussure,0,,0.0,0,0,119,119,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",,0,0.0,,7,1729,1736,,,,,,,
17,Industrie du papier et du carton,1286,,1286.0,497,860,8876,9736,,,,,,,
18,Imprimerie et reproduction d'enregistrements,24,0,24.0,,4,1313,1317,,,,,,,
20,Industrie chimique,1701,21,1722.0,1081,640,17332,17972,,,,,,,
21,Industrie pharmaceutique,4,,4.0,0,3,2143,2147,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,66,0,66.0,57,9,7053,7062,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,66,10,76.0,,64,8112,8176,,,,,,,
24,Métallurgie,,320,320.0,148,606,21469,22075,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",4,2,6.0,0,6,5245,5251,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",2,,2.0,1,1,2363,2363,,,,,,,
27,Fabrication d'équipements électriques,3,0,3.0,0,3,2109,2113,,,,,,,
28,Fabrication de machines et équipements n.c.a.,3,,3.0,,3,2238,2241,,,,,,,
29,Industrie automobile,39,,39.0,22,,4711,,,,,,,,
30,Fabrication d'autres matériels de transport,64,,64.0,,65,1743,1808,,,,,,,
31,Fabrication de meubles,0,0,0.0,0,0,534,534,,,,,,,
32,Autres industries manufacturières,0,,0.0,,0,622,623,,,,,,,
33,Réparation et installation de machines et d'équipements,,0,0.0,1,,320,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",0,0,0.0,0,,289,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",13,0.0,13.0,0.0,11,940,951,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1937,15,1952.0,740,1212,17939,19151,,,,,,,
_T,Total,5715,483,6198.0,2681,3517,108433,111951,,,,,,,
