naf_code,naf_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
13,Fabrication de textiles,77,0,0,17,,,0,,,1,,,,,,,,,,,,,
14,Industrie de l'habillement,8,,0,,,,0,0,0,1,,,,,,,,,,,,,
15,Industrie du cuir et de la chaussure,1,0,0,4,,,1,0,0,1,,,,,,,,,,,,,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",36,0,,,,,3,0,0,8,,,,,,,,,,,,,
17,Industrie du papier et du carton,823,1,45,40,,,2,0,0,3,,,,,,,,,,,,,
18,Imprimerie et reproduction d'enregistrements,27,0,0,12,,,0,0,0,1,,,,,,,,,,,,,
20,Industrie chimique,2118,763,90,74,,,5,1,1,8,,,,,,,,,,,,,
21,Industrie pharmaceutique,127,,,,,,,0,0,,,,,,,,,,,,,,
22,Fabrication de produits en caoutchouc et en plastique,165,1,9,48,,,1,0,1,5,,,,,,,,,,,,,
23,Fabrication d'autres produits minéraux non métalliques,1400,,,,,,6,1,2,22,,,,,,,,,,,,,
24,Métallurgie,982,,,,,,13,,,8,,,,,,,,,,,,,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",225,2,0,104,,,2,0,0,8,,,,,,,,,,,,,
26,"Fabrication de produits informatiques, électroniques et optiques",12,0,0,31,,,,0,0,,,,,,,,,,,,,,
27,Fabrication d'équipements électriques,61,,0,,,,0,0,0,4,,,,,,,,,,,,,
28,Fabrication de machines et équipements n.c.a.,62,0,0,81,,,4,,,5,,,,,,,,,,,,,
29,Industrie automobile,144,2,,,,,1,,,2,,,,,,,,,,,,,
30,Fabrication d'autres matériels de transport,26,11,0,65,,,1,0,1,2,,,,,,,,,,,,,
31,Fabrication de meubles,9,0,0,5,,,1,0,0,6,,,,,,,,,,,,,
32,Autres industries manufacturières,15,0,0,14,,,0,0,0,0,,,,,,,,,,,,,
33,Réparation et installation de machines et d'équipements,5,2,0,12,,,,0,0,,,,,,,,,,,,,,
38,"Collecte, traitement et élimination des déchets ; récupération",55,0,0,9,,,2,0,0,14,,,,,,,,,,,,,
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",50,0,0,1,,,20,3,0,39,,,,,,,,,,,,,
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2110,8,198,107,,,13,0,8,11,,,,,,,,,,,,,
_T,Total,8540,800,356,1002,,,75,6,16,152,,,,,,,,,,,,,
