reg_code,reg_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
ARA,Auvergne-Rhône-Alpes,1914,249.0,251.0,48.0,491.0,16447,16447,513,31,,,,,125,128,25,201,30,29,18,612,,,,,37673,33661,22,0.59,,,,,259,290,10,37,7504,101,27,,,,,,,,18560,18647,,1155,62
BFC,Bourgogne-Franche-Comté,676,151.0,151.0,15.0,357.0,5711,5711,182,32,,,,,0,0,0,,,,,,,,,,18810,17768,11,0.6,,,,,54,296,2,31,,,,,,,,,,,,,,,
BRE,Bretagne,561,4.0,4.0,0.0,94.0,4879,4879,167,34,,,,,0,0,0,,,,,,,,,,15443,14781,9,0.57,,,,,,,,,1378,16,23,,,,,,,,4279,4292,,341,80
CVL,Centre-Val de Loire,471,34.0,33.0,4.0,388.0,5130,5130,158,31,,,,,47,47,6,128,8,8,6,752,4,4,2,440,9351,9122,6,0.6,,,,,43,159,3,58,188,1,14,,,,,,,,,3794,,286,77
DOM,Départements d’Outre-mer,80,0.0,0.0,0.0,,1,1,0,38,,,,,0,0,0,,1,1,1,1035,3,3,1,573,19946,19459,14,0.68,,,,,,,,,1844,11,12,,,,,,,,506,512,,52,103
FRA,France,14304,10103.0,9950.0,1200.0,344.0,136991,136991,3908,29,,,,,864,878,123,143,2334,2329,913,391,,,,,310325,294898,184,0.59,,,,,2183,3574,105,48,47342,575,24,,,,,,,,107783,111718,,7066,66
GRE,Grand Est,2336,2181.0,2401.0,315.0,464,28500,28500,772,27,,,,,107,113,14,132,18,17,13,693,42,48,18,432,51018,48710,30,0.59,,,,,522,917,27,51,4816,62,26,,,,,,,,16579,17171,,1085,65
HDF,Hauts-de-France,2530,365.0,385.0,56.0,305.0,,,,,,,,,172,165,38,221,,,,,60,61,22,361,35391,33458,20,0.56,,,,,105,124,5,46,4826,61,25,,,,,,,,19445,20811,,1098,56
IDF,Ile-de-France,596,2.0,2.0,0.0,242.0,7452,7452,199,27,,,,,15,16,3,210,5,5,4,781,,,,,12254,11158,7,0.59,,,,,,,,,476,8,35,,,,,,,,5164,5179,,368,71
NOA,Nouvelle-Aquitaine,1012,197.0,199.0,17.0,86.0,7262,7262,224,31,,,,,63,64,6,93,,,,,143,136,45,314,34337,33548,20,0.6,,,,,,,,,9968,106,21,,,,,,,,7748,8021,,558,72
NOR,Normandie,1444,0.0,0.0,0.0,,,,,,,,,,60,70,6,93,,,,,87,86,32,367,14421,13841,9,0.61,,,,,454,522,24,52,5702,70,25,,,,,,,,8205,8645,,545,66
OCC,Occitanie,512,125.0,123.0,17.0,140.0,4383,4383,139,32,,,,,64,63,7,103,,,,,17,16,7,437,19677,19187,12,0.61,,,,,,,,,,,,,,,,,,,,,,,
PAC,Provence-Alpes-Côte d'Azur,1478,80.0,72.0,21.0,259.0,,,,,,,,,143,146,12,88,1080,1080,413,383,94,93,27,282,23295,22707,13,0.56,,,,,,,,,5144,68,26,,,,,,,,,8409,,409,53
PAL,Pays de la Loire,694,12.0,11.0,4.0,305.0,5621,5621,182,32,,,,,68,67,7,97,17,17,12,667,,,,,18710,17498,11,0.58,,,,,42,128,2,47,1744,20,23,,,,,,,,5782,5824,,450,78
