reg_code,reg_label,Électricité produite d’origine thermique,Production d’électricité d’origine non thermique,Électricité autoproduite,Électricité produite et vendue,Quantité d’électricité produite et consommée,Électricité achetée,T4 Consommation d’électricité T4,Électricité : usage force motrice,"Électricité : usages thermiques, y compris production de froid ",Électricité : usage électrolyse,Électricité : usage chauffage des locaux et autres,Électricité : usages thermodynamiques hors chauffage des locaux,Électricité : usage éclairage,Électricité : usage mobilité sur site
ARA,Auvergne-Rhône-Alpes,206,72,278,154,125,19183,19308,8874,2916,3478,2171,1869,,
BFC,Bourgogne-Franche-Comté,,,,,,,6023,3704,,,379,516,,
BRE,Bretagne,6,1,7,3,4,4350,4355,2645,319,22,354,1014,,
CVL,Centre-Val de Loire,126,1,127,52,75,3743,3818,2562,463,23,345,424,,
DOM,Départements d’Outre-mer,,,,,,,512,344,,,13,139,,
FRA,France,4561,441,5002,1697,3306,110376,113682,70292,11833,12197,8049,11311,,
GRE,Grand Est,895,117,1012,329,683,16395,17078,12725,1936,145,947,1325,,
HDF,Hauts-de-France,,,,340,1212,20736,21948,12055,1912,5195,814,1973,,
IDF,Ile-de-France,,,,,14,4835,4850,2584,848,70,684,664,,
NOA,Nouvelle-Aquitaine,,,,136,319,7477,7796,5329,899,313,503,752,,
NOR,Normandie,,,,198,214,8441,8655,6756,597,48,522,733,,
OCC,Occitanie,,,,87,263,4842,5105,2853,,,481,642,,
PAC,Provence-Alpes-Côte d'Azur,,,,102,316,7689,8005,5535,270,1382,372,446,,
PAL,Pays de la Loire,,,,,,,6228,4325,570,54,466,813,,
