reg_code,reg_label,Quantités de gaz consommées pour la fabrication,Quantités de gaz consommées en tant que matières premières,Quantités de gaz consommées pour la production d’électricité,Quantités de gaz consommées pour le chauffage ou un autre usage,Quantités de gaz consommées pour la mobilité sur site,Quantités de gaz naturel et autres gaz consommées,Quantités de fioul domestique consommées pour la fabrication,Quantités de fioul domestique consommées en tant que matières premières,Quantités de fioul domestique consommées pour la production d’électricité,Quantités de fioul domestique consommées pour le chauffage ou un autre usage,Quantités de fioul domestique consommées,Quantités de gazole non routier consommées pour la fabrication,Quantités de gazole non routier consommées en tant que matières premières,Quantités de gazole non routier consommées pour la production d’électricité,Quantités de gazole non routier consommées pour le chauffage ou un autre usage,Quantités de gazole non routier consommées pour la mobilité sur site,Quantités de gazole non routier consommées,Quantités d’hydrogène consommées en tant que matières premières,Quantités d’hydrogène utilisées pour la combustion (hors production d’électricité),Quantités d’hydrogène utilisées pour la production d’électricité,Quantités d’hydrogène utilisées pour le chauffage ou un autre usage,Quantités d’hydrogène utilisées pour la mobilité sur site,Quantités d’hydrogène consommées
ARA,Auvergne-Rhône-Alpes,705.8,70.7,14.6,172,,963.1,7.4,1,0.6,19.7,28.8,,,,,,,0.3,16.4,,,,16.7
BFC,Bourgogne-Franche-Comté,352.3,10.8,0.2,67.7,,431,3.2,1.9,0.4,8.2,13.7,,,,,,,,,,,,
BRE,Bretagne,294.1,0.7,0,40.4,,335.2,2.6,0.3,0.6,6.6,10.0,,,,,,,,0,,,,
CVL,Centre-Val de Loire,302.8,0.7,42.8,53.5,,399.8,0.9,0,1.2,6.6,8.7,,,,,,,0.1,0.1,,,,0.2
DOM,Départements d’Outre-mer,0.3,0,0,0,,0.3,7.8,0,0.4,7.3,15.5,,,,,,,0,0,,,,0
FRA,France,7684.6,998.2,249.2,1015.7,,9947.7,78.7,7.5,10.1,151.1,247.4,,,,,,,76.6,142.3,,,,218.9
GRE,Grand Est,1443.3,337.8,48.6,168.6,,1998.3,9.3,2,0.8,25.1,37.2,,,,,,,,,,,,
HDF,Hauts-de-France,1604.8,,,132.7,,1878.8,14.4,,,16.3,31.5,,,,,,,,,,,,
IDF,Ile-de-France,329,,,,,554.7,0.4,0.5,0.2,8.8,9.9,,,,,,,0.3,,,,,
NOA,Nouvelle-Aquitaine,498.4,,,69.4,,582.5,6.6,0.1,1,15.3,23.0,,,,,,,0.5,6.5,,,,7
NOR,Normandie,791.2,,6.7,,,,12.2,0.7,1.6,7.4,21.8,,,,,,,,,,,,1
OCC,Occitanie,,,0,,,306.2,4.9,,,9.6,15.2,,,,,,,0,0,,,,0
PAC,Provence-Alpes-Côte d'Azur,815.4,,,,,,5.2,0.1,1.3,6.6,13.2,,,,,,,9.3,91.9,,,,101.2
PAL,Pays de la Loire,,,0,,,353.3,3.7,0.6,0.8,13.5,18.7,,,,,,,0.3,0,,,,0.3
