naf_code,naf_label,Facture énergétique (en millions d'euros courants),Combustibles minéraux solides achetés (en milliers de tonnes),Consommation de combustibles minéraux solides (en milliers de tonnes),Valeur des achats de combustibles minéraux solides (en millions d'euros),Prix moyen des combustibles minéraux solides (en €/t),Quantités achetées de gaz (en GWh),Consommation de gaz naturel et autres gaz (en GWh),Valeur des achats de gaz (en millions d'euros),Prix moyen annuel du gaz de réseau (en €/MWh),Quantités achetées de biogaz et biométhane (en GWh),Consommation de biogaz et biométhane (en GWh),Valeur des achats de biogaz et biométhane (en millions d'euros),Prix moyen annuel du biogaz et biométhane (en €/t),Quantités achetées de coke de pétrole (en milliers de tonnes),Consommation de coke de pétrole (en milliers de tonnes),Valeur des achats de coke de pétrole (en millions d'euros),Prix moyen annuel du coke de pétrole (en €/t),Quantités achetées de butane-propane (en milliers de tonnes),Consommation de butane-propane (en milliers de tonnes),Valeur des achats de butane-propane (en millions d'euros),Prix moyen annuel du butane-propane (en €/t),Quantités achetées de fioul lourd (en milliers de tonnes),Consommation de fioul lourd (en milliers de tonnes),Valeur des achats de fioul lourd (en millions d'euros),Prix moyen annuel du fioul lourd (en €/t),Quantités achetées de fioul domestique (en milliers de litres),Consommation de fioul domestique (en milliers de litres),Valeur des achats de fioul domestique (en millions d'euros),Prix moyen annuel du fioul domestique (en €/l),Quantités achetées de gazole non routier (en milliers de litres),Consommation de gazole non routier (en milliers de litres),Valeur des achats de gazole non routier (en millions d'euros),Prix moyen annuel du gazole non routier (en €/l),Quantités achetées de bois (en milliers de tonnes),Consommation de bois et sous-produit du bois (en milliers de tonnes),Valeur des achats de bois (en millions d'euros),Prix moyen annuel du bois (en €/t),Vapeur achetée (en milliers de tonnes),Valeur des achats de vapeur (en millions d'euros),Prix moyen annuel de la vapeur (en €/t),Quantités achetées d’hydrogène (en milliers de tonnes),Consommation d’hydrogène (en milliers de tonnes),Quantité d’hydrogène autoproduite (en milliers de tonnes),Valeur des achats d’hydrogène (en millions d'euros),Prix moyen annuel d’hydrogène (en €/t),Quantité d’hydrogène autoproduite et consommée (en milliers de tonnes),Quantité d’hydrogène autoproduite et vendue (en milliers de tonnes),Électricité achetée (en GWh),T2 Consommation d’électricité (en GWh),Électricité autoproduite (en GWh),Valeur des achats d'électricité (en millions d'euros),Prix moyen annuel de l’électricité (en €/MWh)
13,Fabrication de textiles,114.4,0,0,0,0,856.1,856.1,27.3,31.8,0,0,0,0,0,0,0,0,4.9,5,3.3,666.1,0.9,0.8,,,2425.7,2415.2,1.8,0.75,937.2,945.4,,,0.1,0.1,0,147.9,,,,0,0,0,0,0,0,0,915.4,,,78.6,85.9
14,Industrie de l'habillement,14.2,0,0,0,0,115.1,115.1,4.4,38,0,0,0,0,0,0,0,0,0.2,0.2,0.2,1024.7,0.1,0.1,0.1,900,1027.9,1023.1,0.7,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,8.8,
15,Industrie du cuir et de la chaussure,26.8,0,0,0,0,292.8,292.8,10.7,36.4,0,0,0,0,0,0,0,0,1.3,65,1.0,710.5,0,,0,0,744.7,752.4,,,,,,,0.2,,0,107,2,0.2,158.8,0,0,0,0,0,0,0,,141.1,13.4,14.4,
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",264.9,0,0,0,0,869.4,869.4,31.4,36.1,0,0,0,0,0,0,0,0,3.9,4.1,3.4,881,1,1,1,979.8,6149.2,6239.9,4.6,0.74,13625.2,13602.9,9.5,0.69,387.2,,15.9,41.1,427.8,4.3,20,0,0,0,0,0,0,0,2279.1,2632.8,500.3,194.9,85.5
17,Industrie du papier et du carton,1073.6,,,,,9674.7,9904.7,345.4,35.7,,,,,0,0,0,0,5,5,4.4,892.9,,,,,3989.7,4016.1,,,3763.1,3751.8,2.8,0.73,796.2,1361.9,39.2,49.3,10123.8,116.8,23.1,0,0,0,0,0,0,0,7269.3,7815,1635.6,545.5,75
18,Imprimerie et reproduction d'enregistrements,106.6,0,0,0,0,,,16.9,,0,0,0,0,0,0,0,0,,,1.4,,,,,,802.3,945.9,,,14.4,14.3,0,0.96,0,,0,0,52,1.1,43.3,0,0,0,0,0,0,0,982.8,985.7,3.3,86.5,88
20,Industrie chimique,4452.1,564,559.1,83.9,148.8,36434.4,36442.8,1417.7,38.9,26.1,34.5,,,,,,,1879.5,1892.2,936.1,498.1,,,6.2,,19604.9,21687.9,13,0.66,6186.9,6115.1,4.4,0.71,269.6,291.9,17.7,65.5,29158.6,588.4,40.4,,85.3,,47.3,,,,17103.5,17818.5,953,1338.3,78.2
21,Industrie pharmaceutique,307.4,0,0,0,0,2212.7,2212.7,65.6,29.7,,,0.7,,0,0,0,0,,,1.0,,,,,,1033.6,958.9,,,135.1,144.2,0.1,0.75,,,,,,42.9,,,,0,,,0,0,,2607.1,,196.7,
22,Fabrication de produits en caoutchouc et en plastique,630.8,0,0,0,0,2231.2,2231.2,81.2,36.4,,,,,0,0,0,0,15.8,17.1,12.1,767.2,0,0,0,918.8,5478.8,5505.4,4,0.73,724.8,736.8,0.7,0.91,,,,,1272.8,18.4,29,,,0,,,0,0,6388.4,6447.3,80.2,507.0,79.4
23,Fabrication d'autres produits minéraux non métalliques,1578.1,407.6,419.1,66.9,164.2,22939.5,22939.5,628.1,27.4,46.1,46.1,,,542.7,550.6,71.6,131.9,,,11.4,,,,,,10514.6,10480.7,,,,,21.1,,147.8,156.8,,,227.6,,,0.5,0.5,0,3.2,7003,0,0,8368.2,8421.3,,610.8,73
24,Métallurgie,3121.0,6466.8,6616.4,1187.2,183.6,14327.8,14327.8,523.0,36.5,,,,,193.6,209.3,63.7,328.9,8.7,8.8,6.2,706.8,0.3,0.3,,,9572.0,9494.6,6.1,0.64,11029.3,10991.8,8.4,0.76,,13.5,,,420.4,4.9,23.1,,2.3,,11.9,,,0,,20790.4,422.2,1309.2,
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",596.7,,,,,3724.7,3724.7,133.7,35.9,0,0,0,0,,,,,14.9,15.6,13.7,917,0.4,0.4,0.3,720.6,10088.5,10437.9,7.7,0.77,,,2.7,,2.8,,0.3,91.9,13.0,,,0.2,0.2,0,2.5,10149.7,0,0,4857.5,4869.4,16.2,428.3,88.2
26,"Fabrication de produits informatiques, électroniques et optiques",208.0,0,0,0,0,387.5,387.5,16.2,41.7,0,0,0,0,0,0,0,0,,,0.3,,0,0.1,,,897.7,850.2,,,,,,,0,0,0,0,28,0.6,45.3,0,0,0,0.5,14070.2,0,0,2267.2,2281,13.8,189.6,83.6
27,Fabrication d'équipements électriques,209.7,,,,,,,52.5,,,,,,0,0,0,0,,,2.5,,0,0,0,846.4,2045.3,2089.1,,,302.1,313.4,0.2,0.74,,,,,40.2,0.9,44.2,,,0,1,,0,0,1885.7,1896.1,12.2,145.5,77.1
28,Fabrication de machines et équipements n.c.a.,278.0,0,0,0,0,1781,1781,71.8,40.3,,,,,0,0,0,0,7.6,7.8,5.6,733.6,0.5,0.4,0.3,609.6,8344.2,8358.3,7.1,0.86,3396.7,3431,2.9,0.86,,,,,85.0,1.9,45.5,,,,,,,,,2047.3,22.2,188.1,
29,Industrie automobile,466.5,0,0,0,0,3560.7,3560.7,135.8,38.1,82.1,82.1,5.2,63.3,0,0,0,0,,,6.2,,,,,,3580.4,3616.7,,,1923.8,1927.6,1.5,0.77,1.8,7.8,0.2,87.5,,7.6,,0,0,0,0.1,2487.5,0,0,3785.5,3940.5,166.4,312.7,82.6
30,Fabrication d'autres matériels de transport,246.4,0,0,0,0,1376.5,1376.5,59.2,43,0,0,,0,0,0,0,0,2.5,2.7,2.0,783.9,0.2,0.2,,,1670.8,1642.9,,,1046.6,1048.3,1.5,1.45,,,1.8,,442.2,7.4,33.3,0.8,0.8,0,2.3,2889.9,0,0,1845.1,1925,,170.7,92.5
31,Fabrication de meubles,58.8,0,0,0,0,,,9.8,,0,0,0,0,0,0,0,0,2.1,,1.8,876.2,0,,0,0,2291.2,2458.5,1.6,0.69,24.4,25.7,,,3.4,49.4,0.4,106.5,,,,,,0,,,0,0,,475.7,,45.1,
32,Autres industries manufacturières,84.6,0,0,0,0,497.9,497.9,18.8,37.8,0,0,0,0,0,0,0,0,,,1.0,,0,,0,0,771.8,784.8,,,2.8,3,0,0.81,,,,,2.2,0,38.4,0,0,0,0,1758.2,0,0,675.7,678.4,2.7,64.2,95.1
