year,Nombre d’établissements,Consommation de combustibles minéraux solides,Consommation de gaz naturel et autres gaz,Consommation de biogaz et biométhane,Consommation de coke de pétrole,Consommation de butane-propane,Consommation de fioul lourd,Consommation de fioul domestique,Consommation de gazole non routier,Consommation de combustibles usuels,Consommation d’autres produits pétroliers,Consommation de liqueur noire,Consommation de bois et sous-produit du bois,Consommation d’hydrogène,Consommation de combustibles spéciaux renouvelables,Consommation de combustibles spéciaux non renouvelables,Consommation autres combustibles,Vapeur consommée,Consommation d’électricité,Total brut de la consommation,Vapeur vendue,Consommation de combustibles pour la production d'électricité,Total net de la consommation,ID,NAF,Total combustibles,Autoconsommation d'électricité,REG,TEFF, NAF,"Combustibles minéraux solides (houille, lignite - charbon pauvre, coke de houille)",Combustibles spéciaux renouvelables,Combustibles spéciaux non renouvelables,Consommation pour production d'électricité,Combustibles spéciaux nonrenouvelables
2010,,0.0,11083,,806,1658,1005,296,,20699,1373,702,1011,,236,369,3690,1708,9322,35773,398,1433,33955,_T,Total,24389,354,,,,,,,,
2010,,0.0,8633,,806,1557,748,250,,17549,1369,702,935,,236,369,3612,1439,7716,30568,353,1175,29041,_T_HIAA,Total hors IAA,21161,252,,,,,,,,
2010,,0.0,0,,0,0,0,2,,2,0,0,0,,0,0,0,0,0,2,0,2,1,07,Extraction de minerais métalliques,2,0,,,,,,,,
2010,,0.0,60,,0,s,s,83,,166,10,0,12,,s,s,32,s,s,292,0,0,292,08,Autres industries extractives,198,s,,,,,,,,
2010,,0.0,2360,,0,91,255,37,,3038,3,0,54,,0,0,57,264,1446,4906,45,258,4615,10,Industries alimentaires,3095,101,,,,,,,,
2010,,0.0,90,,0,9,2,4,,105,0,0,0,,0,0,0,5,129,239,0,0,238,11,Fabrication de boissons,105,0,,,,,,,,
2010,,0.0,139,,0,6,4,4,,154,0,0,0,,0,0,0,2,s,267,s,s,265,13,Fabrication de textiles,154,s,,,,,,,,
2010,,0.0,12,,0,0,1,1,,14,0,0,0,,0,0,0,0,s,24,s,s,24,14,Industrie de l'habillement,14,s,,,,,,,,
2010,,0.0,8,,0,0,0,s,,s,0,0,s,,0,0,s,2,13,25,0,0,25,15,Industrie du cuir et de la chaussure,10,0,,,,,,,,
2010,,0.0,67,,0,s,4,12,,87,s,s,s,,s,s,318,0,153,559,0,9,550,16,"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles - fabrication d'articles en vannerie et sparterie",405,1,,,,,,,,
2010,,0.0,824,,0,11,s,7,,943,0,689,462,,s,s,1265,386,791,3475,28,589,2859,17,Industrie du papier et du carton,2208,90,,,,,,,,
2010,,0.0,77,,0,s,0,3,,83,0,0,0,,0,0,1,2,s,210,0,5,204,18,Imprimerie et reproduction d'enregistrements,84,s,,,,,,,,
2010,,0.0,3300,,s,1391,325,16,,5434,1125,s,25,,s,36,1209,764,1484,8966,319,517,8130,20,Industrie chimique,6643,75,,,,,,,,
2010,,0.0,193,,0,s,1,s,,s,0,0,0,,0,s,s,21,192,414,s,s,410,21,Industrie pharmaceutique,202,0,,,,,,,,
2010,,0.0,241,,0,14,14,12,,282,s,0,3,,s,0,4,92,606,986,s,s,980,22,Fabrication de produits en caoutchouc et en plastique,286,1,,,,,,,,
2010,,0.0,1350,,635,22,294,s,,2735,207,0,56,,101,319,683,s,s,4123,s,s,4104,23,Fabrication d'autres produits minéraux non métalliques,3418,s,,,,,,,,
2010,,0.0,1033,,134,s,15,s,,5898,s,0,52,,s,s,80,74,1811,7930,s,s,7929,24,Métallurgie,5978,67,,,,,,,,
2010,,0.0,355,,0,33,3,15,,424,0,0,s,,s,s,1,1,434,861,0,1,860,25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",425,0,,,,,,,,
2010,,0.0,49,,0,1,0,4,,54,s,0,0,,s,0,1,1,198,254,0,0,254,26,"Fabrication de produits informatiques, électroniques et optiques",55,0,,,,,,,,
2010,,0.0,137,,s,s,s,5,,206,s,0,s,,0,s,3,2,s,396,0,1,395,27,Fabrication d'équipements électriques,209,s,,,,,,,,
2010,,0.0,176,,0,s,s,13,,203,0,0,s,,0,s,1,s,s,393,0,0,393,28,Fabrication de machines et équipements n.c.a.,204,s,,,,,,,,
2010,,0.0,370,,0,s,s,4,,s,0,0,s,,0,0,s,s,s,852,s,s,838,29,Industrie automobile,391,s,,,,,,,,
2010,,0.0,152,,0,3,s,3,,158,s,0,s,,s,s,6,7,s,326,s,s,315,30,Fabrication d'autres matériels de transport,164,s,,,,,,,,
2010,,0.0,37,,0,s,s,4,,45,0,0,27,,0,0,28,0,49,122,0,0,122,31,Fabrication de meubles,73,0,,,,,,,,
