teff_id,ind_id,year_id,value
301,1001,2010,
301,1002,2010,369.0
301,1003,2010,2667.0
301,1004,2010,
301,1005,2010,430.0
301,1006,2010,398.0
301,1007,2010,130.0
301,1008,2010,54.0
301,1009,2010,
301,1010,2010,4049.0
301,1011,2010,
301,1012,2010,
301,1013,2010,261.0
301,1014,2010,
301,1015,2010,75.0
301,1016,2010,196.0
301,1017,2010,806.0
301,1018,2010,387.0
301,1019,2010,1778.0
301,1020,2010,7019.0
301,1021,2010,95.0
301,1022,2010,73.0
301,1023,2010,6851.0
302,1001,2010,
302,1002,2010,0.0
302,1003,2010,765.0
302,1004,2010,
302,1005,2010,
302,1006,2010,43.0
302,1007,2010,32.0
302,1008,2010,89.0
302,1009,2010,
302,1010,2010,
302,1011,2010,12.0
302,1012,2010,
302,1013,2010,45.0
302,1014,2010,
302,1015,2010,
302,1016,2010,5.0
302,1017,2010,
302,1018,2010,28.0
302,1019,2010,697.0
302,1020,2010,1803.0
302,1021,2010,
302,1022,2010,
302,1023,2010,1553.0
303,1001,2010,
303,1002,2010,372.0
303,1003,2010,1885.0
303,1004,2010,
303,1005,2010,
303,1006,2010,598.0
303,1007,2010,245.0
303,1008,2010,24.0
303,1009,2010,
303,1010,2010,3174.0
303,1011,2010,
303,1012,2010,
303,1013,2010,543.0
303,1014,2010,
303,1015,2010,94.0
303,1016,2010,16.0
303,1017,2010,1367.0
303,1018,2010,393.0
303,1019,2010,1960.0
303,1020,2010,6894.0
303,1021,2010,75.0
303,1022,2010,650.0
303,1023,2010,6169.0
304,1001,2010,
304,1002,2010,201.0
304,1003,2010,1074.0
304,1004,2010,
304,1005,2010,217.0
304,1006,2010,39.0
304,1007,2010,123.0
304,1008,2010,50.0
304,1009,2010,
304,1010,2010,1703.0
304,1011,2010,254.0
304,1012,2010,0.0
304,1013,2010,77.0
304,1014,2010,
304,1015,2010,38.0
304,1016,2010,137.0
304,1017,2010,506.0
304,1018,2010,146.0
304,1019,2010,920.0
304,1020,2010,3276.0
304,1021,2010,46.0
304,1022,2010,13.0
304,1023,2010,3217.0
305,1001,2010,
305,1002,2010,3975.0
305,1003,2010,2294.0
305,1004,2010,
305,1005,2010,0.0
305,1006,2010,479.0
305,1007,2010,218.0
305,1008,2010,32.0
305,1009,2010,
305,1010,2010,6949.0
305,1011,2010,0.0
305,1012,2010,0.0
305,1013,2010,9.0
305,1014,2010,
305,1015,2010,0.0
305,1016,2010,15.0
305,1017,2010,803.0
305,1018,2010,485.0
305,1019,2010,2613.0
305,1020,2010,11575.0
305,1021,2010,27.0
305,1022,2010,97.0
305,1023,2010,11250.0
306,1001,2010,
306,1002,2010,5460.0
306,1003,2010,8728.0
306,1004,2010,
306,1005,2010,806.0
306,1006,2010,1557.0
306,1007,2010,748.0
306,1008,2010,250.0
306,1009,2010,
306,1010,2010,17549.0
306,1011,2010,1369.0
306,1012,2010,702.0
306,1013,2010,935.0
306,1014,2010,
306,1015,2010,236.0
306,1016,2010,369.0
306,1017,2010,3612.0
306,1018,2010,1439.0
306,1019,2010,7968.0
306,1020,2010,30568.0
306,1021,2010,353.0
306,1022,2010,1175.0
306,1023,2010,29041.0
301,2001,2010,
301,2002,2010,581.0
301,2003,2010,591.0
301,2004,2010,93.0
301,2005,2010,810.4000000000001
301,2006,2010,34633.0
301,2007,2010,34633.0
301,2008,2010,886.0
301,2009,2010,59.4
301,2010,2010,
301,2011,2010,
301,2012,2010,
301,2013,2010,
301,2014,2010,576.0
301,2015,2010,564.0
301,2016,2010,65.0
301,2017,2010,112.3
301,2018,2010,363.0
301,2019,2010,364.0
301,2020,2010,168.0
301,2021,2010,462.1
301,2022,2010,
301,2023,2010,137.0
301,2024,2010,54.0
301,2025,2010,
301,2026,2010,63490.0
301,2027,2010,64234.0
301,2028,2010,35.0
301,2029,2010,0.56
301,2030,2010,
301,2031,2010,
301,2032,2010,
301,2033,2010,
301,2034,2010,
301,2035,2010,
301,2036,2010,
301,2037,2010,
301,2038,2010,10740.0
301,2039,2010,126.0
301,2040,2010,23.4
301,2041,2010,
301,2042,2010,
301,2043,2010,
301,2044,2010,
301,2045,2010,
301,2046,2010,
301,2047,2010,
301,2048,2010,20370.0
301,2049,2010,20676.0
301,2050,2010,
301,2051,2010,1201.0
301,2052,2010,59.0
302,2001,2010,
302,2002,2010,20.0
302,2003,2010,0.0
302,2004,2010,2.0
302,2005,2010,707.7
302,2006,2010,9938.0
302,2007,2010,9938.0
302,2008,2010,307.0
302,2009,2010,30.4
302,2010,2010,
302,2011,2010,
302,2012,2010,
302,2013,2010,
302,2014,2010,
302,2015,2010,
302,2016,2010,4.0
302,2017,2010,
302,2018,2010,40.0
302,2019,2010,39.0
302,2020,2010,28.0
302,2021,2010,685.3
302,2022,2010,33.0
302,2023,2010,33.0
302,2024,2010,15.0
302,2025,2010,458.2
302,2026,2010,104815.0
302,2027,2010,105467.0
302,2028,2010,105.0
302,2029,2010,1.0
302,2030,2010,
302,2031,2010,
302,2032,2010,
302,2033,2010,
302,2034,2010,
302,2035,2010,
302,2036,2010,
302,2037,2010,
302,2038,2010,780.0
302,2039,2010,12.0
302,2040,2010,29.7
302,2041,2010,
302,2042,2010,
302,2043,2010,
302,2044,2010,
302,2045,2010,
302,2046,2010,
302,2047,2010,
302,2048,2010,8076.0
302,2049,2010,8101.0
302,2050,2010,
302,2051,2010,558.0
302,2052,2010,69.1
303,2001,2010,
303,2002,2010,583.0
303,2003,2010,592.0
303,2004,2010,31.0
303,2005,2010,237.7
303,2006,2010,24477.0
303,2007,2010,24477.0
303,2008,2010,688.0
303,2009,2010,66.6
303,2010,2010,
303,2011,2010,
303,2012,2010,
303,2013,2010,
303,2014,2010,
303,2015,2010,
303,2016,2010,
303,2017,2010,
303,2018,2010,540.0
303,2019,2010,546.0
303,2020,2010,282.0
303,2021,2010,521.5
303,2022,2010,257.0
303,2023,2010,257.0
303,2024,2010,98.0
303,2025,2010,380.8
303,2026,2010,27587.0
303,2027,2010,28523.0
303,2028,2010,16.0
303,2029,2010,0.57
303,2030,2010,
303,2031,2010,
303,2032,2010,
303,2033,2010,
303,2034,2010,
303,2035,2010,
303,2036,2010,
303,2037,2010,
303,2038,2010,10928.0
303,2039,2010,128.0
303,2040,2010,23.3
303,2041,2010,
303,2042,2010,
303,2043,2010,
303,2044,2010,
303,2045,2010,
303,2046,2010,
303,2047,2010,
303,2048,2010,21638.0
303,2049,2010,22786.0
303,2050,2010,
303,2051,2010,1186.0
303,2052,2010,54.8
304,2001,2010,
304,2002,2010,256.0
304,2003,2010,335.0
304,2004,2010,46.0
304,2005,2010,341.5
304,2006,2010,13940.0
304,2007,2010,13940.0
304,2008,2010,386.0
304,2009,2010,74.4
304,2010,2010,
304,2011,2010,
304,2012,2010,
304,2013,2010,
304,2014,2010,284.0
304,2015,2010,285.0
304,2016,2010,27.0
304,2017,2010,96.2
304,2018,2010,36.0
304,2019,2010,36.0
304,2020,2010,26.0
304,2021,2010,724.9
304,2022,2010,
304,2023,2010,129.0
304,2024,2010,47.0
304,2025,2010,
304,2026,2010,58428.0
304,2027,2010,58740.0
304,2028,2010,50.0
304,2029,2010,0.85
304,2030,2010,
304,2031,2010,
304,2032,2010,
304,2033,2010,
304,2034,2010,
304,2035,2010,
304,2036,2010,
304,2037,2010,
304,2038,2010,4060.0
304,2039,2010,50.0
304,2040,2010,24.5
304,2041,2010,
304,2042,2010,
304,2043,2010,
304,2044,2010,
304,2045,2010,
304,2046,2010,
304,2047,2010,
304,2048,2010,10630.0
304,2049,2010,10704.0
304,2050,2010,
304,2051,2010,659.0
