ind_id,ind_set,ind_code,ind_label,unit,unit_label
1001,T1,T1_INFO_NB-ETAB,Nombre d’établissements,,
1002,T1,T1_CONSO_CMS_KTEP,Consommation de combustibles minéraux solides,kTEP,Milliers de tonnes-équivalent-pétrole
1003,T1,T1_CONSO_GAZ_KTEP,Consommation de gaz naturel et autres gaz,kTEP,Milliers de tonnes-équivalent-pétrole
1004,T1,T1_CONSO_BIOGAZ_KTEP,Consommation de biogaz et biométhane,kTEP,Milliers de tonnes-équivalent-pétrole
1005,T1,T1_CONSO_COKE-PET_KTEP,Consommation de coke de pétrole,kTEP,Milliers de tonnes-équivalent-pétrole
1006,T1,T1_CONSO_BUT-PROP_KTEP,Consommation de butane-propane,kTEP,Milliers de tonnes-équivalent-pétrole
1007,T1,T1_CONSO_FIOUL-LRD_KTEP,Consommation de fioul lourd,kTEP,Milliers de tonnes-équivalent-pétrole
1008,T1,T1_CONSO_FIOUL-DOM_KTEP,Consommation de fioul domestique,kTEP,Milliers de tonnes-équivalent-pétrole
1009,T1,T1_CONSO_GNR_KTEP,Consommation de gazole non routier,kTEP,Milliers de tonnes-équivalent-pétrole
1010,T1,T1_CONSO_COMB-USUEL_KTEP,Consommation de combustibles usuels,kTEP,Milliers de tonnes-équivalent-pétrole
1011,T1,T1_CONSO_AUTRES-PET_KTEP,Consommation d’autres produits pétroliers,kTEP,Milliers de tonnes-équivalent-pétrole
1012,T1,T1_CONSO_LIQ-NOIRE_KTEP,Consommation de liqueur noire,kTEP,Milliers de tonnes-équivalent-pétrole
1013,T1,T1_CONSO_BOIS_KTEP,Consommation de bois et sous-produit du bois,kTEP,Milliers de tonnes-équivalent-pétrole
1014,T1,T1_CONSO_HYDRO_KTEP,Consommation d’hydrogène,kTEP,Milliers de tonnes-équivalent-pétrole
1015,T1,T1_CONSO_CSR_KTEP,Consommation de combustibles spéciaux renouvelables,kTEP,Milliers de tonnes-équivalent-pétrole
1016,T1,T1_CONSO_CSNR_KTEP,Consommation de combustibles spéciaux non renouvelables,kTEP,Milliers de tonnes-équivalent-pétrole
1017,T1,T1_CONSO_AUTRES-COMB_KTEP,Consommation autres combustibles,kTEP,Milliers de tonnes-équivalent-pétrole
1018,T1,T1_CONSO_VAPEUR_KTEP,Vapeur consommée,kTEP,Milliers de tonnes-équivalent-pétrole
1019,T1,T1_CONSO_ELEC_KTEP,Consommation d’électricité,kTEP,Milliers de tonnes-équivalent-pétrole
1020,T1,T1_TOTAL_BRUT_KTEP,Total brut de la consommation,kTEP,Milliers de tonnes-équivalent-pétrole
1021,T1,T1_VENTE_VAPEUR_KTEP,Vapeur vendue,kTEP,Milliers de tonnes-équivalent-pétrole
1022,T1,T1_CONSO_PROD-ELEC_KTEP,Consommation de combustibles pour la production d’électricité,kTEP,Milliers de tonnes-équivalent-pétrole
1023,T1,T1_TOTAL_NET_KTEP,Total net de la consommation,kTEP,Milliers de tonnes-équivalent-pétrole
2001,T2,T2_VALEUR_FACT-ENERG_EUR,Facture énergétique (en millions d'euros courants),M€,Millions d'euros
2002,T2,T2_ACHAT_CMS_T,Combustibles minéraux solides achetés (en milliers de tonnes),KT,Milliers de tonnes
2003,T2,T2_CONSO_CMS_T,Consommation de combustibles minéraux solides (en milliers de tonnes),KT,Milliers de tonnes
2004,T2,T2_VALEUR_CMS_EUR,Valeur des achats de combustibles minéraux solides (en millions d'euros),M€,Millions d'euros
2005,T2,T2_PRIX_CMS_EUR-T,Prix moyen des combustibles minéraux solides (en €/t),€/T,Euros par tonne
