"naf_id","naf_code","naf_label"
"101","13","Fabrication de textiles"
"102","14","Industrie de l'habillement"
"103","15","Industrie du cuir et de la chaussure"
"104","16","Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie"
"105","17","Industrie du papier et du carton"
"106","18","Imprimerie et reproduction d'enregistrements"
"107","20","Industrie chimique"
"108","21","Industrie pharmaceutique"
"109","22","Fabrication de produits en caoutchouc et en plastique"
"110","23","Fabrication d'autres produits minéraux non métalliques"
"111","24","Métallurgie"
"112","25","Fabrication de produits métalliques, à l'exception des machines et des équipements"
"113","26","Fabrication de produits informatiques, électroniques et optiques"
"114","27","Fabrication d'équipements électriques"
"115","28","Fabrication de machines et équipements n.c.a."
"116","29","Industrie automobile"
"117","30","Fabrication d'autres matériels de transport"
"118","31","Fabrication de meubles"
"119","32","Autres industries manufacturières"
"120","33","Réparation et installation de machines et d'équipements"
"121","38","Collecte, traitement et élimination des déchets ; récupération"
"122","B07T09","Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)"
"123","C10T12","Fabrication de denrées alimentaires, de boissons et de produits à base de tabac"
"124","_T","Total"
