2025-07-18 21:35:57,609 | INFO | --- Processing file: 2010_NAF_T1.csv ---
2025-07-18 21:35:57,620 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,621 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,622 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,623 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group '27' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,627 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,629 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '15' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,630 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,630 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,631 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '18' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,632 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,635 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,636 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz' for group '31' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,680 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de butane-propane' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,686 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de fioul lourd' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,731 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de combustibles spéciaux renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,737 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation de combustibles spéciaux non renouvelables' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,749 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Vapeur consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,755 | INFO | Script: step_3_T1.py | File: 2010_NAF_T1.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Consommation d’électricité' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,777 | INFO | --- Processing file: 2010_REG_T1.csv ---
2025-07-18 21:35:57,782 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,783 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'CVL' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:35:57,785 | INFO | Script: step_3_T1.py | File: 2010_REG_T1.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
