2025-07-18 21:40:45,686 | INFO | --- Processing file: 2010_NAF_T2.csv ---
2025-07-18 21:40:45,702 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group '_T' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,705 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,706 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,707 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,708 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,709 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Combustibles minéraux solides achetés (en milliers de tonnes)' for group '27' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,715 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,716 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,718 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,719 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de combustibles minéraux solides (en milliers de tonnes)' for group '27' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,722 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,724 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group '15' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,724 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,725 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,727 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,729 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,730 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Consommation de gaz naturel et autres gaz (en GWh)' for group '31' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,733 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,735 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,735 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,737 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,738 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,739 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group '27' included a suppressed or null value (s, so, ns, or null).
2025-07-18 21:40:45,740 | INFO | Script: step_3_T2.py | File: 2010_NAF_T2.csv | ColumnAggregationWarning: Sum across axis 'Prix moyen annuel du gaz de réseau (en €/MWh)' for group '30' included a suppressed or null value (s, so, ns, or null).
