2025-07-19 20:58:25,821 | INFO | --- Processing file: 2010_NAF_T3.csv ---
2025-07-19 20:58:25,833 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '_T' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,835 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,836 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '17' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,837 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,837 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '22' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,840 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '29' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,841 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '32' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,841 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,843 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group 'B07T09' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,844 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,846 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,848 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,849 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,850 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '_T' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,851 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '13' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,852 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,853 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '18' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,854 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,854 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '22' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,856 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '29' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,858 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la production d’électricité' for group '33' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,859 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '13' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,860 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '15' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,861 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '16' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,861 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '18' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,862 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '20' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,863 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '23' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,863 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '24' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,865 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '30' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,865 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '31' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,866 | INFO | Script: step_3_T3.py | File: 2010_NAF_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour le chauffage ou un autre usage' for group '32' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,967 | INFO | --- Processing file: 2010_REG_T3.csv ---
2025-07-19 20:58:25,976 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'FRA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,977 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'IDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,979 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'BFC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,979 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,980 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,980 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,982 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,982 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'OCC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,983 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,984 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées en tant que matières premières' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,986 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group 'NOR' included a suppressed or null value (s, so, ns, or null).
2025-07-19 20:58:25,987 | INFO | Script: step_3_T3.py | File: 2010_REG_T3.csv | ColumnAggregationWarning: Sum across axis 'Quantités de gaz consommées pour la fabrication' for group 'BFC' included a suppressed or null value (s, so, ns, or null).
