2025-07-19 21:38:55,613 | INFO | --- Processing file: 2010_NAF_T4.csv ---
2025-07-19 21:38:55,637 | INFO | Script: step_3_T4.py | File: 2010_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,642 | INFO | Script: step_3_T4.py | File: 2010_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,649 | INFO | Script: step_3_T4.py | File: 2010_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,654 | INFO | Script: step_3_T4.py | File: 2010_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,663 | INFO | Script: step_3_T4.py | File: 2010_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,672 | INFO | Script: step_3_T4.py | File: 2010_NAF_T4.csv | RowAggregationWarning: Sum across axis 'B07T09' for group 'Électricité achetée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,720 | INFO | --- Processing file: 2010_REG_T4.csv ---
2025-07-19 21:38:55,729 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'BFC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,729 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'HDF' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,730 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'GRE' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,732 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'NOA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,733 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'ARA' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,734 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | ManualColumnSumWarning: Sum across axis 'columns' for group 'PAC' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,739 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,739 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,741 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,742 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,742 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Électricité produite d’origine thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,745 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,747 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Production d’électricité d’origine non thermique' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,748 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,748 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,750 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,750 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,751 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Électricité autoproduite' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,752 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,754 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'GRE' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,754 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,755 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,755 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Électricité produite et vendue' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,756 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'ARA' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,757 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'BFC' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,758 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'HDF' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,759 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOA' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,759 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'NOR' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
2025-07-19 21:38:55,760 | INFO | Script: step_3_T4.py | File: 2010_REG_T4.csv | RowAggregationWarning: Sum across axis 'OCC' for group 'Quantité d’électricité produite et consommée' included a suppressed or null value (s, so, ns, or null).
